company,query,title,url,search_snippet,agency,ecosystem_id
Micron Technology Inc.,"""Micron Technology Inc."" ""credit rating"" ICRA CRISIL CARE ""India Ratings""",ICRA An Affiliate of Moody's,https://www.icra.in/,"Aug 5, 2014 · ICRA Limited is an Independent and professional investment information and Credit Rating Agency read more.",ICRA,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" ""credit rating"" ICRA CRISIL CARE ""India Ratings""",India Ratings and Research: Credit Rating and Research Agency ...,https://www.indiaratings.co.in/,"6 days ago · Discover India Ratings & Research, a leading agency offering credit rating and research services in India. Stay informed with our comprehensive analysis.",India Ratings,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" ""credit rating"" ICRA CRISIL CARE ""India Ratings""",Ratings assigned and not accepted (as on 20 Aug 2026),https://www.icra.in/RegulatoryDisclosure/NonAcceptedRating?IsCurrent=true,"ICRA rates debt instruments issued by corporate entities, commercial banks, non-banking finance companies, financial institutions, public sector undertakings and municipalities, among others. ICRA enjoys a strong market acceptance with issuers, intermediaries, lenders and investors by virtue ...",ICRA,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" ""credit rating"" ICRA CRISIL CARE ""India Ratings""",ICRA An Affiliate of Moody's,https://www.icra.in/Rating/RatingDetails?CompanyId=24382&CompanyName=Micron+Electricals+(India)+Private+Limited+(Erstwhile+Micron+Electricals),"ICRA rates debt instruments issued by corporate entities, commercial banks, non-banking finance companies, financial institutions, public sector undertakings and municipalities, among others. ICRA enjoys a strong market acceptance with issuers, intermediaries, lenders and investors by virtue of a long and consistent track record of formidable performance across multiple dimensions.",ICRA,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" (site:icra.in OR site:indiaratings.co.in OR site:crisilratings.com OR site:careratings.com)",1 CARE Ratings Ltd. Press Release Micron Instruments Private Limited,https://www.careratings.com/upload/CompanyFiles/PR/202411121159_Micron_Instruments_Private_Limited.pdf,The company derives majority income from exports. It derived ~59% of TOI in FY24 from export sales.,CARE Ratings,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" (site:icra.in OR site:indiaratings.co.in OR site:crisilratings.com OR site:careratings.com)","Micron Instruments Private Limited - December 19, 2025",https://careratings.com/upload/CompanyFiles/PR/202512121227_Micron_Instruments_Private_Limited.pdf,"We use cookies to improve your journey and to personalize your web experience. By continuing to use this site, you are accepting the our cookie policy · This is a carousel. Slides change automatically. Use the pause button, arrow keys, or the previous/next buttons to control it",CARE Ratings,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" (site:icra.in OR site:indiaratings.co.in OR site:crisilratings.com OR site:careratings.com)",Press Release 1 CARE Ratings Limited Askar Microns Private Limited,https://www.careratings.com/upload/CompanyFiles/PR/202305120550_Askar_Microns_Private_Limited.pdf,"Incorporated in 1994, Karnataka-based Askar Microns Private Limited (AMPL) is an ISO 9001:2008 certified company.",CARE Ratings,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" (site:icra.in OR site:indiaratings.co.in OR site:crisilratings.com OR site:careratings.com)",Company Factsheet,https://www.crisilratings.com/en/home/our-business/ratings/company-factsheet.TACPL.html,"Log In To Your Account · Thank you! If email exists, we'll send password reset link",CRISIL Ratings,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" (site:icra.in OR site:indiaratings.co.in OR site:crisilratings.com OR site:careratings.com)",Press Releases: Financial Insights | India Ratings & Research,https://www.indiaratings.co.in/pressrelease/77518,"July 7, 2025 - On a consolidated level, exports accounted for about 51% of the revenue in FY24 (FY23: 55.7%; FY22: 42.3%), whereas domestic sales accounted for 49.1% (44.3%; 57.7%). Almost the entire export products are sold to the subsidiary, which mainly includes standardised valves, which is sold in bulk to stockists in the US.",India Ratings,MFG-0001
Micron Technology Inc.,"""Micron Technology Inc."" (site:icra.in OR site:indiaratings.co.in OR site:crisilratings.com OR site:careratings.com)",India Ratings and Research: Most Respected Credit Rating and Research Agency India,https://www.indiaratings.co.in/PressRelease?pressReleaseID=54276&title=india-ratings-affirms-microtek-international-at-‘ind-a+’/stable,"India Ratings and Research Private Limited(India Ratings):India's Most Respected Credit Rating and Research Agency,India Ratings and Research, Indian credit rating and research agency,Credit rating India, Indian financial markets research,India credit ratings agency,India Ratings and Research is a Leading Credit Rating and Research Agency committed to providing the world's credit markets with accurate, timely and prospective credit opinions.",India Ratings,MFG-0001
