ecosystem_id,company,query_status,exact_ibbi_match,ibbi_cirp_event,ibbi_nonvoluntary_liquidation_event,ibbi_voluntary_liquidation_event,ibbi_distress_event,announcement_type,announcement_date,corporate_debtor,applicant,evidence_source
MFG-0001,Micron Technology Inc.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0002,Tata Electronics Private Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0003,Tata Electronics Private Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0004,CG Power and Industrial Solutions Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0005,Kaynes Technology India Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0006,Vama Sundari Investments (Delhi) Private Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0007,3D Glass Solutions Inc.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0008,SiCSem Private Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0009,Continental Device India Private Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0010,Advanced System in Package Technologies Private Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0011,Crystal Matrix Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
MFG-0012,Suchi Semicon Private Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-001,Fermionic Design Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-002,Morphing Machines Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-003,Calligo Technologies Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-004,Sensesemi Technologies Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-005,Saankhya Labs Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-006,Aryabhata Circuits and Research Labs Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-007,BigEndian Semiconductors Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-008,C2i Semiconductors Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-009,MMRFIC Technology Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-010,Sophrosyne Technologies Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-011,Aagyavision Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-012,Aheesa Digital Innovations Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-013,Mindgrove Technologies Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-014,InCore Semiconductors Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-015,MBit Wireless Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-016,Netrasemi Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-017,Netrasemi Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-018,Green PMU Semi Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-019,WiSig Networks Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-020,MosChip Technologies Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-021,Multi Nano Sense Technologies Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-022,Vervesemi Microelectronics Pvt. Ltd.,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-023,Incise Infotech Limited,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
DLI-024,DV2JS Innovation LLP,OK,0,0,0,0,0,,,,,https://ibbi.gov.in/public-announcement
