ecosystem_id,company,credit_search_company,project_scope,exact_ibbi_match,ibbi_cirp_event,ibbi_nonvoluntary_liquidation_event,ibbi_voluntary_liquidation_event,ibbi_distress_event,company_cra,cra_ever_default_event,cra_ever_downgrade_event,cra_ever_upgrade_event,cra_ever_negative_outlook,cra_ever_noncooperating,latest_rating_agency,latest_rating_date,latest_rating_symbols,latest_rating_source,latest_nondefault_rating_evidence,observed_company_credit_distress_target,target_evidence_source,target_evidence_quality,target_level,target_definition,target_as_of_date,approval_date,temporal_validation,ml_eligible_credit_distress_target
MFG-0001,Micron Technology Inc.,Micron Technology Inc.,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2023-06-01,NOT_APPLICABLE_UNLABELED,
MFG-0002,Tata Electronics Private Limited,Tata Electronics Private Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2024-02-01,NOT_APPLICABLE_UNLABELED,
MFG-0003,Tata Electronics Private Limited,Tata Electronics Private Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2024-02-01,NOT_APPLICABLE_UNLABELED,
MFG-0004,CG Power and Industrial Solutions Limited,CG Power and Industrial Solutions Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2024-02-01,NOT_APPLICABLE_UNLABELED,
MFG-0005,Kaynes Technology India Limited,Kaynes Technology India Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2024-09-01,NOT_APPLICABLE_UNLABELED,
MFG-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Vama Sundari Investments (Delhi) Private Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2025-05-01,NOT_APPLICABLE_UNLABELED,
MFG-0007,3D Glass Solutions Inc.,3D Glass Solutions Inc.,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2025-08-01,NOT_APPLICABLE_UNLABELED,
MFG-0008,SiCSem Private Limited,SiCSem Private Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2025-08-01,NOT_APPLICABLE_UNLABELED,
MFG-0009,Continental Device India Private Limited,Continental Device India Private Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2025-08-01,NOT_APPLICABLE_UNLABELED,
MFG-0010,Advanced System in Package Technologies Private Limited,Advanced System in Package Technologies Private Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2025-08-01,NOT_APPLICABLE_UNLABELED,
MFG-0011,Crystal Matrix Limited,Crystal Matrix Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2026-05-05,NOT_APPLICABLE_UNLABELED,
MFG-0012,Suchi Semicon Private Limited,Suchi Semicon Private Limited,Manufacturing,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,2026-05-05,NOT_APPLICABLE_UNLABELED,
DLI-001,Fermionic Design Pvt. Ltd.,Fermionic Design Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-002,Morphing Machines Pvt. Ltd.,Morphing Machines Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
