ecosystem_id,company,agency,search_query,http_status,results_returned,accepted_results,search_status
MFG-0001,Micron Technology Inc.,ICRA,"site:icra.in ""Micron Technology Inc.""",200,10,0,OK
MFG-0001,Micron Technology Inc.,ICRA,"site:icra.in ""Micron Technology Inc."" rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,ICRA,"site:icra.in ""Micron Technology Inc."" credit rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,ICRA,"site:icra.in ""Micron Technology Inc."" bank facilities",200,10,0,OK
MFG-0001,Micron Technology Inc.,India Ratings,"site:indiaratings.co.in ""Micron Technology Inc.""",200,10,0,OK
MFG-0001,Micron Technology Inc.,India Ratings,"site:indiaratings.co.in ""Micron Technology Inc."" rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,India Ratings,"site:indiaratings.co.in ""Micron Technology Inc."" credit rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,India Ratings,"site:indiaratings.co.in ""Micron Technology Inc."" bank facilities",200,10,0,OK
MFG-0001,Micron Technology Inc.,CRISIL Ratings,"site:crisilratings.com ""Micron Technology Inc.""",200,10,0,OK
MFG-0001,Micron Technology Inc.,CRISIL Ratings,"site:crisilratings.com ""Micron Technology Inc."" rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,CRISIL Ratings,"site:crisilratings.com ""Micron Technology Inc."" credit rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,CRISIL Ratings,"site:crisilratings.com ""Micron Technology Inc."" bank facilities",200,10,0,OK
MFG-0001,Micron Technology Inc.,CARE Ratings,"site:careratings.com ""Micron Technology Inc.""",200,10,0,OK
MFG-0001,Micron Technology Inc.,CARE Ratings,"site:careratings.com ""Micron Technology Inc."" rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,CARE Ratings,"site:careratings.com ""Micron Technology Inc."" credit rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,CARE Ratings,"site:careratings.com ""Micron Technology Inc."" bank facilities",200,10,0,OK
MFG-0001,Micron Technology Inc.,CARE Edge,"site:careedge.in ""Micron Technology Inc.""",200,10,0,OK
MFG-0001,Micron Technology Inc.,CARE Edge,"site:careedge.in ""Micron Technology Inc."" rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,CARE Edge,"site:careedge.in ""Micron Technology Inc."" credit rating",200,10,0,OK
MFG-0001,Micron Technology Inc.,CARE Edge,"site:careedge.in ""Micron Technology Inc."" bank facilities",200,10,0,OK
MFG-0002,Tata Electronics Private Limited,ICRA,"site:icra.in ""Tata Electronics Private Limited""",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,ICRA,"site:icra.in ""Tata Electronics Private Limited"" rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,ICRA,"site:icra.in ""Tata Electronics Private Limited"" credit rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,ICRA,"site:icra.in ""Tata Electronics Private Limited"" bank facilities",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,India Ratings,"site:indiaratings.co.in ""Tata Electronics Private Limited""",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,India Ratings,"site:indiaratings.co.in ""Tata Electronics Private Limited"" rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,India Ratings,"site:indiaratings.co.in ""Tata Electronics Private Limited"" credit rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,India Ratings,"site:indiaratings.co.in ""Tata Electronics Private Limited"" bank facilities",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CRISIL Ratings,"site:crisilratings.com ""Tata Electronics Private Limited""",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CRISIL Ratings,"site:crisilratings.com ""Tata Electronics Private Limited"" rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CRISIL Ratings,"site:crisilratings.com ""Tata Electronics Private Limited"" credit rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CRISIL Ratings,"site:crisilratings.com ""Tata Electronics Private Limited"" bank facilities",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CARE Ratings,"site:careratings.com ""Tata Electronics Private Limited""",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CARE Ratings,"site:careratings.com ""Tata Electronics Private Limited"" rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CARE Ratings,"site:careratings.com ""Tata Electronics Private Limited"" credit rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CARE Ratings,"site:careratings.com ""Tata Electronics Private Limited"" bank facilities",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CARE Edge,"site:careedge.in ""Tata Electronics Private Limited""",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CARE Edge,"site:careedge.in ""Tata Electronics Private Limited"" rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CARE Edge,"site:careedge.in ""Tata Electronics Private Limited"" credit rating",200,7,0,OK
MFG-0002,Tata Electronics Private Limited,CARE Edge,"site:careedge.in ""Tata Electronics Private Limited"" bank facilities",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,ICRA,"site:icra.in ""Tata Electronics Private Limited""",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,ICRA,"site:icra.in ""Tata Electronics Private Limited"" rating",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,ICRA,"site:icra.in ""Tata Electronics Private Limited"" credit rating",200,10,0,OK
MFG-0003,Tata Electronics Private Limited,ICRA,"site:icra.in ""Tata Electronics Private Limited"" bank facilities",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,India Ratings,"site:indiaratings.co.in ""Tata Electronics Private Limited""",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,India Ratings,"site:indiaratings.co.in ""Tata Electronics Private Limited"" rating",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,India Ratings,"site:indiaratings.co.in ""Tata Electronics Private Limited"" credit rating",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,India Ratings,"site:indiaratings.co.in ""Tata Electronics Private Limited"" bank facilities",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,CRISIL Ratings,"site:crisilratings.com ""Tata Electronics Private Limited""",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,CRISIL Ratings,"site:crisilratings.com ""Tata Electronics Private Limited"" rating",200,7,0,OK
MFG-0003,Tata Electronics Private Limited,CRISIL Ratings,"site:crisilratings.com ""Tata Electronics Private Limited"" credit rating",200,7,0,OK
