dataset,column,dtype,missing,unique_values
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 0,float64,1988,0
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 1,object,1962,26
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 2,object,11,156
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 3,object,8,1537
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 4,object,10,1426
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 5,object,10,1456
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 6,object,10,872
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 7,object,10,1536
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 8,object,9,1391
../01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx | Sheet: Report 1,Unnamed: 9,object,10,1400
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Statement 1: Deployment of Gross Bank Credit by Major Sectors,object,3,55
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 1,object,12,46
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 2,object,13,44
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 3,object,13,45
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 4,object,13,44
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 5,object,13,44
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 6,object,11,47
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 7,object,12,46
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 8,object,11,47
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 1,Unnamed: 9,object,12,45
../01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx | Sheet: Statement 2,Statement 2: Industry-wise Deployment of Gross Bank Credit,object,2,46
