sector_code,sector,year,credit_crore,credit_growth_pct
2.18.4,Airports,2019,4423.68,
2.18.4,Airports,2020,5143.87,16.28033673321758
2.18.4,Airports,2021,8573.41,66.6723692472788
2.18.4,Airports,2022,7365.83,-14.085177309845209
2.18.4,Airports,2023,9593.04,30.23705407265713
2.18.4,Airports,2024,7280.23,-24.109250039612064
2.18.4,Airports,2025,9155.73,25.76154874227874
2.18.4,Airports,2026,6684.13,-26.995116719256686
2.14,All Engineering,2019,172838.22,
2.14,All Engineering,2020,162810.18,-5.801980603595669
2.14,All Engineering,2021,153532.1829,-5.6986590764778855
2.14,All Engineering,2022,169914.075872,10.670005898808842
2.14,All Engineering,2023,177978.895549,4.746410581708038
2.14,All Engineering,2024,196864.0536,10.61089742845418
2.14,All Engineering,2025,240135.8943,21.98056979357048
2.14,All Engineering,2026,317373.7001,32.16420686509589
2.13,Basic Metal and Metal Product,2019,371754.79,
2.13,Basic Metal and Metal Product,2020,335099.21,-9.860150019855817
2.13,Basic Metal and Metal Product,2021,305457.1987,-8.845741922220585
2.13,Basic Metal and Metal Product,2022,286129.20314,-6.327562631445039
2.13,Basic Metal and Metal Product,2023,342729.485322,19.781372037829392
2.13,Basic Metal and Metal Product,2024,384447.2295,12.172207517776169
2.13,Basic Metal and Metal Product,2025,433501.1544,12.759599012795064
2.13,Basic Metal and Metal Product,2026,518062.2818,19.506551837685258
2.3,Beverage and Tobacco,2019,14638.31,
2.3,Beverage and Tobacco,2020,18025.49,23.139146527160605
2.3,Beverage and Tobacco,2021,17804.60937,-1.2253793378155242
2.3,Beverage and Tobacco,2022,18475.74327,3.769439059588886
2.3,Beverage and Tobacco,2023,23780.123777,28.709970849253974
2.3,Beverage and Tobacco,2024,31137.4711,30.9390623530563
2.3,Beverage and Tobacco,2025,35515.45461,14.060176871589292
2.3,Beverage and Tobacco,2026,40158.25845,13.072629622746646
2.12,Cement and Cement Products,2019,56986.43,
2.12,Cement and Cement Products,2020,61054.34,7.1383836467734385
2.12,Cement and Cement Products,2021,57610.08978,-5.641286467104544
2.12,Cement and Cement Products,2022,48604.6475659999,-15.63171008479568
2.12,Cement and Cement Products,2023,58053.651534,19.440535918235735
2.12,Cement and Cement Products,2024,59756.90776,2.9339346983237924
2.12,Cement and Cement Products,2025,59752.60731,-0.007196573854317823
2.12,Cement and Cement Products,2026,65112.66177,8.970411001802358
2.9,Chemicals and Chemical Products,2019,171924.62,
2.9,Chemicals and Chemical Products,2020,198941.33,15.714276407881545
2.9,Chemicals and Chemical Products,2021,184952.9264,-7.031421575396124
2.9,Chemicals and Chemical Products,2022,203139.168898,9.832903351130762
2.9,Chemicals and Chemical Products,2023,224077.828124,10.307544005220226
2.9,Chemicals and Chemical Products,2024,249347.616,11.277237059802392
2.9,Chemicals and Chemical Products,2025,267814.87,7.40622841968539
2.9,Chemicals and Chemical Products,2026,307905.5671,14.969556059377886
2.17,Construction,2019,111937.32,
2.17,Construction,2020,127837.59,14.204619156506503
2.17,Construction,2021,119670.3416,-6.388769062370459
2.17,Construction,2022,119551.206842,-0.09955245084718456
2.17,Construction,2023,124955.254703,4.520278802490085
2.17,Construction,2024,142209.8544,13.808622724999942
2.17,Construction,2025,160037.0366,12.535827615614226
2.17,Construction,2026,179323.3057,12.051128607313899
2.4.1,Cotton Textiles,2019,91359.57,
2.4.1,Cotton Textiles,2020,83046.06,-9.099769186742023
2.4.1,Cotton Textiles,2021,86367.72814,3.9997901646387612
2.4.1,Cotton Textiles,2022,88625.279138,2.6138825769974616
2.4.1,Cotton Textiles,2023,90065.816094,1.6254244500115034
2.4.1,Cotton Textiles,2024,99513.08708,10.489297044885548
2.4.1,Cotton Textiles,2025,107494.5958,8.020561872011411
2.4.1,Cotton Textiles,2026,110268.4446,2.580454188749104
2.9.2,Drugs and Pharmaceuticals,2019,50732.58,
2.9.2,Drugs and Pharmaceuticals,2020,56342.18,11.057194410376914
2.9.2,Drugs and Pharmaceuticals,2021,54077.22842,-4.019992801130523
2.9.2,Drugs and Pharmaceuticals,2022,63931.07682,18.221807381599533
2.9.2,Drugs and Pharmaceuticals,2023,70687.329663,10.568026035323076
2.9.2,Drugs and Pharmaceuticals,2024,80832.23558,14.351802459317064
2.9.2,Drugs and Pharmaceuticals,2025,88524.29389,9.51607765739344
2.9.2,Drugs and Pharmaceuticals,2026,104391.4091,17.92402346605151
2.14.1,Electronics,2019,39888.57,
2.14.1,Electronics,2020,32448.62,-18.651834347533647
2.14.1,Electronics,2021,35486.51382,9.362166465014532
2.14.1,Electronics,2022,36745.333901,3.547319658913728
2.14.1,Electronics,2023,40836.84364,11.13477360152293
2.14.1,Electronics,2024,43395.91409,6.266572589594976
2.14.1,Electronics,2025,52863.09654,21.81583830764746
2.14.1,Electronics,2026,59905.30703,13.32160041868029
2.9.1,Fertiliser,2019,37630.14,
2.9.1,Fertiliser,2020,47067.95,25.08045412533675
2.9.1,Fertiliser,2021,32413.7444,-31.13414882101302
2.9.1,Fertiliser,2022,33936.919783,4.6991651572349635
2.9.1,Fertiliser,2023,34648.190503,2.09586115813698
2.9.1,Fertiliser,2024,37569.36877,8.43096919230768
2.9.1,Fertiliser,2025,32011.20975,-14.79439022259622
2.9.1,Fertiliser,2026,30585.68393,-4.4532082077904045
2.16,Gems and Jewellery,2019,72699.68,
2.16,Gems and Jewellery,2020,66608.72,-8.378248707559631
2.16,Gems and Jewellery,2021,74381.83894,11.669821819125193
2.16,Gems and Jewellery,2022,82131.649319,10.418955069464442
2.16,Gems and Jewellery,2023,78599.810169,-4.300217004388052
2.16,Gems and Jewellery,2024,84957.19865,8.088300044657593
2.16,Gems and Jewellery,2025,85813.54569,1.0079746667823963
2.16,Gems and Jewellery,2026,121355.0919,41.41717478775815
2.11,Glass and Glassware,2019,7965.62,
2.11,Glass and Glassware,2020,6817.07,-14.418839964748509
2.11,Glass and Glassware,2021,6582.735659,-3.437464203829499
2.11,Glass and Glassware,2022,7146.366057,8.56225173236902
2.11,Glass and Glassware,2023,9573.382103,33.961541105534224
2.11,Glass and Glassware,2024,12090.21779,26.289932438937157
2.11,Glass and Glassware,2025,13442.79188,11.187342639259445
