Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Industry-Wise Deployment of Gross Bank Credit,,,,,,,,,
,(Rupees Crores),,,,,,,,,
,Sr. No,Sector,Outstanding as on last reporting Friday in March,,,,,,,
,,,2019-03-29 00:00:00,2020-03-27 00:00:00,2021-03-26 00:00:00,2022-03-25 00:00:00,2023-03-24 00:00:00,2024-03-22 00:00:00,2025-03-21 00:00:00,2026-03-31 00:00:00
,2.1  ,Mining and Quarrying (incl. Coal),41681.48,45406.79,43498.1901,50352.797441,60221.13672,54220.1844,56817.55619,60930.81628
,2.2  ,Food Processing,147312.94,144268.84,156556.8267,171988.79019,181771.533928,208862.7716,219524.7981,250187.0083
,2.2.1  ,Sugar,29471.99,27563.45,26490.40038,25792.265018,22613.743388,26383.01125,28521.70209,29742.41651
,2.2.2  ,Edible Oils and Vanaspati,19173,16521.68,17998.84563,17384.054944,18982.718062,19700.21613,20927.25364,26225.64579
,2.2.3  ,Tea,3603,4929.18,5059.66,5685.199499,5244.916407,5691.947888,5083.83262,5126.835226
,2.2.4  ,Others,95064.95,95254.53,107007.9207,123127.27073,134930.156072,157087.5963,164992.0098,189092.1108
,2.3  ,Beverage and Tobacco,14638.31,18025.49,17804.60937,18475.74327,23780.123777,31137.4711,35515.45461,40158.25845
,2.4  ,Textiles,200939.28,193452.92,204971.7757,224314.895866,230275.235697,256047.9836,277267.0852,301868.4233
,2.4.1  ,Cotton Textiles,91359.57,83046.06,86367.72814,88625.279138,90065.816094,99513.08708,107494.5958,110268.4446
,2.4.2  ,Jute Textiles,1910.91,1944.26,2590.11184,3288.09319,3709.449733,4279.559436,4288.234703,4994.105944
,2.4.3  ,Man-Made Textiles,29103.49,30064.6,34487.93404,37406.285376,39400.075626,45074.46841,49186.25942,52031.98385
,2.4.4  ,Other Textiles,78565.31,78398,81526.00171,94995.238162,97099.894245,107180.8687,116297.9953,134573.8889
,2.5  ,Leather and Leather Products,10489.53,10460.56,10737.49791,11877.34168,11947.5707,12587.81048,12979.84309,14147.20102
,2.6  ,Wood and Wood Products,13077.12,13622.18,15086.18251,17334.741726,21205.494054,23838.81498,27825.96738,31055.0612
,2.7  ,Paper and Paper Products,32393.27,32592.86,37855.07604,41825.500609,44265.640695,46426.05713,52847.59392,58963.98515
,2.8  ,"Petroleum, Coal Products and Nuclear Fuels",75395.37,79997.34,79173.88612,106442.513209,149443.424272,132356.3024,154178.5291,204180.2297
,2.9  ,Chemicals and Chemical Products,171924.62,198941.33,184952.9264,203139.168898,224077.828124,249347.616,267814.87,307905.5671
,2.9.1  ,Fertiliser,37630.14,47067.95,32413.7444,33936.919783,34648.190503,37569.36877,32011.20975,30585.68393
,2.9.2  ,Drugs and Pharmaceuticals,50732.58,56342.18,54077.22842,63931.07682,70687.329663,80832.23558,88524.29389,104391.4091
,2.9.3  ,Petro Chemicals,22966.75,26485.96,28011.68184,19708.024706,20778.83,25318.15427,28797.46146,36807.94201
,2.9.4  ,Others,60595.15,69045.24,70450.27177,85563.147589,97963.477958,105627.8573,118481.9049,136120.5321
,2.10  ,"Rubber, Plastic and their Products",46018.84,52571.78,56026.05774,76854.542552,84048.982548,90471.78341,103464.6135,112778.5823
,2.11  ,Glass and Glassware,7965.62,6817.07,6582.735659,7146.366057,9573.382103,12090.21779,13442.79188,16286.83311
,2.12  ,Cement and Cement Products,56986.43,61054.34,57610.08978,48604.6475659999,58053.651534,59756.90776,59752.60731,65112.66177
,2.13  ,Basic Metal and Metal Product,371754.79,335099.21,305457.1987,286129.20314,342729.485322,384447.2295,433501.1544,518062.2818
,2.13.1  ,Iron and Steel,287648.22,251225.15,218852.728,185580.671762,228614.11499,273802.5639,300156.0398,356663.3265
,2.13.2  ,Other Metal and Metal Product,84106.57,83874.06,86604.47072,100548.531378,114115.370332,110644.6656,133345.1146,161398.9553
,2.14  ,All Engineering,172838.22,162810.18,153532.1829,169914.075872,177978.895549,196864.0536,240135.8943,317373.7001
,2.14.1  ,Electronics,39888.57,32448.62,35486.51382,36745.333901,40836.84364,43395.91409,52863.09654,59905.30703
,2.14.2  ,Others,132949.65,130361.56,118045.6691,133168.741972,137142.051908,153468.1395,187272.7977,257468.393
,2.15  ,"Vehicles, Vehicle Parts and Transport Equipment",83808.29,90007.12,85892.30051,95976.634681,101616.961508,113547.8696,119450.2002,141075.5601
,2.16  ,Gems and Jewellery,72699.68,66608.72,74381.83894,82131.649319,78599.810169,84957.19865,85813.54569,121355.0919
,2.17  ,Construction,111937.32,127837.59,119670.3416,119551.206842,124955.254703,142209.8544,160037.0366,179323.3057
,2.18  ,Infrastructure,1044199.16,1083656.43,1111675.253,1212648.014518,1223104.943332,1326851.767,1364368.718,1490126.394
,2.18.1  ,Power,569857.28,577326.55,571028.2991,610649.95019,620231.404645,651191.2482,692159.9417,842654.828
,2.18.2  ,Telecommunications,110545.08,147176.4,114960.8208,127368.127591,108262.16,143097.5097,123849.8018,108701.4327
,2.18.3  ,Roads,176253.72,181530.8,234088.4362,282165.694462,300209.550457,324255.7266,334146.5112,338134.9082
,2.18.4  ,Airports,4423.68,5143.87,8573.41,7365.83,9593.04,7280.23,9155.73,6684.13
,2.18.5  ,Ports,9478.84,12745.18,10152.8,8603.38,7982.55,6680.97,5915.78,8794.11
,2.18.6  ,Railways (other than Indian Railways),9703.87,10884.73,12471.11,10526.36,10174.63,12961.35106,13414.97668,6730.318654
,2.18.7  ,Other Infrastructure,163936.69,148848.9,160400.3766,165968.672275,166651.60823,181384.7309,185725.9769,178426.666
,2.19  ,Other Industries,161468.06,223620.5,219105.7224,236392.293877,218756.513244,256370.6387,300921.2914,353413.3863
,,Industries (2.1 to 2.19),2837528.33,2946851.25,2940570.692,3181100.127314,3366405.867978,3682392.532,3985659.551,4584304.347
,,,,,,,,"(36,65,399.19)","(39,73,599.88)", 
,"Note : (1) With effect from December 31, 2025, definition of last reporting fortnight has been changed to the last day of the month under the Banking Laws
             (Amendment) Act 2025. Accordingly, the y-o-y growth rates from December 2025 onwards are based on end-of-month data for the current year and data
              for the last reporting fortnight (as per old definition) for the corresponding month of the previous year. 
              Also see Notes on Tables.
Source : Reserve Bank of India.
",,,,,,,,,
