Statement 1: Deployment of Gross Bank Credit by Major Sectors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,source_file,source_sheet,Statement 2: Industry-wise Deployment of Gross Bank Credit
(Rs. Crore),,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
Sector,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),,SIBCSJ26E31072026E.xlsx,Statement 1,
,"28.Jun,2024","4.Apr,2025","27.Jun,2025","31.Mar,2026","30.Jun,2026","27.Jun,2025 / 28.Jun,2024","30.Jun,2026 / 27.Jun,2025","27.Jun,2025 / 4.Apr,2025","30.Jun,2026 / 31.Mar,2026",SIBCSJ26E31072026E.xlsx,Statement 1,
,,,,,,%,%,%,%,SIBCSJ26E31072026E.xlsx,Statement 1,
I. Bank Credit (II + III),16886028.587850098,18401354.284906946,18486199.65642504,21361434.744850088,21928364.689706504,9.476302022408657,18.620187476364887,0.46108221277868383,2.653988140909376,SIBCSJ26E31072026E.xlsx,Statement 1,
II. Food Credit,33903.61,29356.71,64388.73,70271.35,132049.25,89.91703243400924,105.08130848364301,119.33224124910457,87.91335302367179,SIBCSJ26E31072026E.xlsx,Statement 1,
III. Non-food Credit,16852124.9778501,18371997.574906945,18421810.92642504,21291163.394850086,21796315.439706504,9.314468950580935,18.317984734285435,0.2711373725964954,2.3725901468522115,SIBCSJ26E31072026E.xlsx,Statement 1,
,"28.Jun,2024","21.Mar,2025","27.Jun,2025","31.Mar,2026","30.Jun,2026","27.Jun,2025 / 28.Jun,2024","30.Jun,2026 / 27.Jun,2025","27.Jun,2025 / 21.Mar,2025","30.Jun,2026 / 31.Mar,2026",SIBCSJ26E31072026E.xlsx,Statement 1,
1. Agriculture and Allied Activities,2159558.976238,2287060.099496,2305994.987196,2644249.776114,2693966.812576,6.780829445699807,16.82448693662422,0.8279138665473869,1.8801944094352714,SIBCSJ26E31072026E.xlsx,Statement 1,
"2. Industry (Micro and Small, Medium and Large)",3762913.992569,3985659.551324,4001401.41064,4584304.347049,4771513.112732,6.337838668169528,19.246049647611464,0.3949624676490615,4.083689727177683,SIBCSJ26E31072026E.xlsx,Statement 1,
  2.1. Micro and Small,738665.798108,798472.66076,880692.891254,1059416.599847,1083665.406781,19.227517168086663,23.04691198744568,10.2971879357449,2.2888830453951714,SIBCSJ26E31072026E.xlsx,Statement 1,
  2.2. Medium,318820.045509,363245.019249,360979.94432,442584.873546,470265.795475,13.223728998498578,30.274770904757165,-0.6235666861125806,6.254375958947678,SIBCSJ26E31072026E.xlsx,Statement 1,
  2.3. Large,2705428.148952,2823941.871316,2759728.575065,3082302.873656,3217581.910476,2.007091784493869,16.590520515236403,-2.2738887405311754,4.388895003674381,SIBCSJ26E31072026E.xlsx,Statement 1,
3. Services,4656519.556925,5093565.107574,5067273.37764,6061400.065605,6153049.81222,8.821047902701116,21.427232234422743,-0.5161753973637303,1.5120227278027776,SIBCSJ26E31072026E.xlsx,Statement 1,
  3.1. Transport Operators,244905.152274,261574.761822,269063.50434,286807.455291,289779.756693,9.864370692769917,7.69939141460897,2.8629453643910905,1.0363403555825295,SIBCSJ26E31072026E.xlsx,Statement 1,
  3.2. Computer Software,26677.055094,32915.202169,36231.587867,45737.831611,53858.962968,35.81554537910346,48.65195300218995,10.075544063112044,17.755829410694794,SIBCSJ26E31072026E.xlsx,Statement 1,
"  3.3. Tourism, Hotels and Restaurants",78641.215045,83366.436558,85042.881596,102559.286533,106085.814699,8.140345424898186,24.74390884702776,2.0109352243137595,3.43852642233941,SIBCSJ26E31072026E.xlsx,Statement 1,
  3.4. Shipping,7019.2,7304.35,8041.905091,10383.57,10368.2,14.570109001025756,28.9271619432993,10.09747740729838,-0.14802230831976845,SIBCSJ26E31072026E.xlsx,Statement 1,
