project_id,company,project_type,state,approval_date,investment_crore,capacity_value,capacity_unit,technology,technology_partner,source_document,source_page,source
SEM-001,Micron Technology Inc.,ATMP,Gujarat,2023-06-01,22516,14.0,million units/week,DRAM and NAND assembly and test,,MeitY_Annual_Report_2025_26.pdf,92,Ministry of Electronics & Information Technology (MeitY)
SEM-002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,2024-02-01,91526,50000.0,WSPM,Semiconductor fabrication,"PSMC, Taiwan",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
SEM-003,Tata Electronics Private Limited,OSAT,Assam,2024-02-01,27120,48.0,million units/day,Semiconductor packaging,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
SEM-004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,2024-02-01,7584,15.07,million units/day,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
SEM-005,Kaynes Technology India Limited,OSAT,Gujarat,2024-09-01,3307,6.33,million chips/day,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
SEM-006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,2025-05-01,3706,36.0,million chips/month,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
SEM-007,3D Glass Solutions Inc.,Advanced Packaging,Odisha,2025-08-01,1943,4.2,million units/month,Advanced packaging / glass substrate / 3D heterogeneous integration,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
SEM-008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,2025-08-01,2066,5000.0,wafers/month,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
SEM-009,Continental Device India Private Limited,Semiconductor Manufacturing,Punjab,2025-08-01,117,158.38,million units/year,Silicon and Silicon Carbide discrete semiconductor devices,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
SEM-010,Advanced System in Package Technologies Private Limited,OSAT,Andhra Pradesh,2025-08-01,480,96.0,million units/year,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY)
