document,page,matched_keywords
MeitY_Annual_Report_2024_25.pdf,12,"approved, semiconductor manufacturing"
MeitY_Annual_Report_2024_25.pdf,77,"ATMP, OSAT, approved, investment, investment of, packaging, semiconductor fab, wafer"
MeitY_Annual_Report_2024_25.pdf,78,"ATMP, OSAT, approved, assembly and test, packaging, production capacity, semiconductor fab, wafer"
MeitY_Annual_Report_2024_25.pdf,79,"OSAT, WSPM, approved, assembly and test, investment, investment of, production capacity, semiconductor manufacturing, wafer"
MeitY_Annual_Report_2024_25.pdf,84,"approved, investment, investment of"
MeitY_Annual_Report_2024_25.pdf,129,approved
MeitY_Annual_Report_2024_25.pdf,133,
MeitY_Annual_Report_2024_25.pdf,140,
MeitY_Annual_Report_2024_25.pdf,173,approved
MeitY_Annual_Report_2024_25.pdf,176,
MeitY_Annual_Report_2024_25.pdf,178,approved
MeitY_Annual_Report_2024_25.pdf,197,approved
MeitY_Annual_Report_2024_25.pdf,216,packaging
MeitY_Annual_Report_2024_25.pdf,257,
MeitY_Annual_Report_2025_26.pdf,85,"ATMP, investment"
MeitY_Annual_Report_2025_26.pdf,91,"ATMP, approved, investment, investment of, semiconductor fab"
MeitY_Annual_Report_2025_26.pdf,92,"ATMP, OSAT, WSPM, approved, assembly and test, investment, investment of, packaging, production capacity, wafer"
MeitY_Annual_Report_2025_26.pdf,93,"ATMP, OSAT, WSPM, approved, assembly and test, installed capacity, investment, investment of, outsourced semiconductor assembly, packaging, production capacity, semiconductor fab, wafer"
MeitY_Annual_Report_2025_26.pdf,94,"approved, investment"
MeitY_Annual_Report_2025_26.pdf,95,"approved, packaging"
MeitY_Annual_Report_2025_26.pdf,96,"approved, investment, investment of, semiconductor manufacturing"
MeitY_Annual_Report_2025_26.pdf,97,"investment, investment of, packaging"
MeitY_Annual_Report_2025_26.pdf,146,approved
MeitY_Annual_Report_2025_26.pdf,150,wafer
MeitY_Annual_Report_2025_26.pdf,201,approved
MeitY_Annual_Report_2025_26.pdf,202,wafer
MeitY_Annual_Report_2025_26.pdf,204,approved
MeitY_Annual_Report_2025_26.pdf,206,approved
MeitY_Annual_Report_2025_26.pdf,222,approved
MeitY_Annual_Report_2025_26.pdf,242,"packaging, production capacity"
MeitY_Annual_Report_2025_26.pdf,294,
MeitY_Annual_Report_2025_26.pdf,295,
MeitY_Annual_Report_2025_26.pdf,313,
MeitY_Annual_Report_2025_26.pdf,340,semiconductor fab
