source,page,company_raw,state,project_type,investment_crore,capacity_raw,approval_date,data_quality_flag
MeitY Annual Report 2025-26,93,Tata Electronics Private Limited; CG Power and Industrial Solutions Limited; The facility will be set up as joint venture partnership with Renesas Electronics America Inc.; Kaynes Technology India Limited; Private Limited,Gujarat; Assam; Odisha; Punjab; Andhra Pradesh; Uttar Pradesh,Semiconductor Fab; OSAT; ATMP; Advanced Packaging,91526.0,"15.07; 6.33; 36; 4.20; 8; 158.38; 96; 15.07; 6.33; 50,000; 5,000; 48",February 2024,HIGH
MeitY Annual Report 2024-25,79,Aryabhata Circuits and iii. Tata Electronics Private Limited; The semiconductor manufacturing facilities will generate direct employment of about iv. CG Power and Industrial Solutions Limited; Investment Promotion to Attract Investment in be set up as joint venture partnership with ESDM Sector Renesas Electronics America Inc.; Kaynes Technology India Limited; The Technol- includes online meetings with possible investors and in- ogy would be provided by ISO Technology depth presentations outlining the advantages of these Sdn. Bhd. and Aptos Technology Inc.,Gujarat,OSAT; Semiconductor Design,27120.0,"15.07; 6.33; 15.07; 50,000; 48",February 2024,HIGH
ISM Approved Projects,3,Micron Technology Inc.; Tata Electronics Private Limited; CG Power and Industrial Solutions Limited; The facility will be set up as a joint venture partnership with Renesas Electronics America Inc.; Kaynes Technology India Limited,Gujarat; Assam; Odisha; Punjab; Andhra Pradesh; Uttar Pradesh,Advanced Packaging,22516.0,"14; 48; 6.33; 36; 4.20; 8; 158.38; 96; 48; 6.33; 50,000; 5,000",,HIGH
MeitY Annual Report 2025-26,92,Micron Technology Inc.; Mohali The Union Cabinet has also approved that Ministry of Electronics; Information Technology; Mohali has been brought under the administrative control of Ministry of Electronics; Micron Technology,Gujarat,OSAT; ATMP; Advanced Packaging; Semiconductor Design,22516.0,14; 1500,June 2023,HIGH
ISM Approved Projects,1,,,Semiconductor Design,1000.0,,,MEDIUM
MeitY Annual Report 2025-26,146,RAnnEuaPl ORT Ministry of Electronics; Information Technology,,Display Fab; Semiconductor Design,1000.0,,,MEDIUM
MeitY Annual Report 2024-25,129,VEGA Processor Annual Ministry of Electronics; Information Technology,,Display Fab; Semiconductor Design,1000.0,,,MEDIUM
MeitY Annual Report 2025-26,91,Discrete Semiconductor Ministry of Electronics; Information Technology,,Semiconductor Fab; ATMP; Display Fab; Compound Semiconductor,856.64,,,MEDIUM
MeitY Annual Report 2024-25,77,It shall offer financial Annual Ministry of Electronics; Information Technology,,Semiconductor Fab; OSAT; ATMP; Display Fab; Compound Semiconductor; Advanced Packaging; Semiconductor Design,522.17,,,MEDIUM
MeitY Annual Report 2025-26,162,Innovate and Design in India Products developed under IICG program were demonstrated at International Conclave on Next-Gen Higher Education held at Cochin University of Science & Technology; The i-Graphene Certificate Programme has offered courses on AI and Graphene Technology; Keysight Technologies; ITeS and Electronics; These initiatives includes Technology,,Semiconductor Design,490.0,,,MEDIUM
MeitY Annual Report 2025-26,201,D Printing & Additive Manufacturing Technology; The Ministry of Electronics; Information Technology; D Printing and Additive Manufacturing Technology; Programme is an umbrella programme initiated by Ministry of Electronics,West Bengal; Bihar,Semiconductor Design,250.0,,,HIGH
MeitY Annual Report 2025-26,299,Drone and related Technology; Ministry of Electronics; Information Technology,,Semiconductor Design,89.87,,11/7/2023,MEDIUM
MeitY Annual Report 2025-26,103,Likhotronics Pvt. Ltd.; Bilirubin Sensor Healthcare Instrumentation Pvt. Ltd.; Prompt Equipment Pvt. Ltd.; Ministry of Electronics; Technology Industry Sector Status Sensa Core Medical Technology,,Advanced Packaging,83.08,,24.11.2023,MEDIUM
MeitY Annual Report 2025-26,301,A Proof-of-concept scanner development Project has been approved by Ministry of Science & Technology; Leveraging AI and Cloud Technology; Ministry of Electronics; Information Technology,,Semiconductor Design,18.04,,13.08.2021,MEDIUM
MeitY Annual Report 2024-25,78,Micron Technology Inc.; Tata Electronics Private Limited; Ministry of Electronics; Information Technology; Micron Technology,,Semiconductor Fab; OSAT; ATMP; Display Fab; Compound Semiconductor; Advanced Packaging; Semiconductor Design,15.0,,,MEDIUM
MeitY Annual Report 2024-25,44,Electronics and Information Technology; Create Awareness and wide publicity including and Emerging Technologies; REPORT Ministry of Electronics; Information Technology,Odisha; Uttar Pradesh,Semiconductor Design,3.88,,,HIGH
ISM Approved Projects,2,,,Compound Semiconductor; Advanced Packaging; Semiconductor Design,1.6,,,MEDIUM
MeitY Annual Report 2025-26,8,Modified Electronics; Large Scale Electronics; Centre of Excellence in Electronics; Artificial Intelligence & Emerging Technology; Promoting the Adoption of Cutting-edge Technologies,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,14,RAnnEuaPl ORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,54,RAnnEuaPl ORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,81,Make in India Electronics; Manufacturing CHAPTER Electronics; National Policy on Electronics; The National Policy on Electronics; India as a global hub for Electronics,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,83,Information & Communication Technology; Information and Communication Technology; Consumer Electronics; Ministry of Electronics; Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,85,Automotive Electronics; Consumer Electronics; Industrial Electronics; Large Scale Electronics; Ministry of Electronics,,ATMP; Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,94,Multi Nano Sense Technologies Pvt. Ltd.; Sophrosyne Technologies Pvt. Ltd.; MMRFIC Technology Pvt. Ltd.; Incise Infotech Limited; Calligo Technologies,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,96,Applied Materials Inc.; Moschip Technologies; Microchip Technology; RAnnEuaPl ORT Ministry of Electronics; Information Technology,Odisha; Karnataka,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,97,Applied Materials Inc.; Microchip Technology; Ministry of Electronics; Information Technology,Karnataka,Advanced Packaging; Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,153,Indrarka Quantum Technologies Pvt. Ltd.; Innovate and Design in India No. Technology; Indrarka Quantum Technologies; IIT Kharagpur. Major achievements Ministry of Electronics; Information Technology,,Advanced Packaging; Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,197,Visvesvaraya PhD Scheme for Electronics; Ministry of Electronics; Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,306,Emerging Technology; STPI in association with the Ministry of Electronics; Indian Electronics; RAnnEuaPl ORT Ministry of Electronics; Information Technology,Punjab,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,12,Large Scale Electronics; Modified Electronics; REPORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,83,Diploma level as a step towards creation of Talent pool Annual Ministry of Electronics; Information Technology,,Advanced Packaging; Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,84,Applied Materials Inc.; Electronics design and technology specific curriculums in Diploma and Information Technology; Ministry of Finance has decided to exempt the Electronics; Dot Compulsory Safety Standards for Electronics; Electronics and Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,93,A virtual meeting of the Technology; International Projects Technology; Weather Extremes & Climate Modeling and Quantum Technologies; India-Argentina Centre of Excellence in Information Technology; C-DAC Delhi with financial assistance from the Annual Ministry of Electronics,,Compound Semiconductor; Advanced Packaging,,,,MEDIUM
