source,document,page,company_raw,state,project_type,investment_crore,capacity_raw,approval_date,matched_terms,data_quality_flag
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,8,Modified Electronics; Large Scale Electronics; Centre of Excellence in Electronics; Artificial Intelligence & Emerging Technology; Promoting the Adoption of Cutting-edge Technologies,,Semiconductor Design,,,,"investment, semiconductor, display",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,14,RAnnEuaPl ORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,"crore, semiconductor, display",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,54,RAnnEuaPl ORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,"investment, crore, semiconductor, fab, fabrication",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,81,Make in India Electronics; Manufacturing CHAPTER Electronics; National Policy on Electronics; The National Policy on Electronics; India as a global hub for Electronics,,Semiconductor Design,,,,"crore, semiconductor",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,83,Information & Communication Technology; Information and Communication Technology; Consumer Electronics; Ministry of Electronics; Information Technology,,Semiconductor Design,,,,"investment, crore, semiconductor",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,85,Automotive Electronics; Consumer Electronics; Industrial Electronics; Large Scale Electronics; Ministry of Electronics,,ATMP; Semiconductor Design,,,,"investment, semiconductor, ATMP",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,91,Discrete Semiconductor Ministry of Electronics; Information Technology,,Semiconductor Fab; ATMP; Display Fab; Compound Semiconductor,856.64,,,"investment, proposed investment, total investment, approved, crore, semiconductor, ATMP, fab, fabrication, display, project cost",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,92,Micron Technology Inc.; Mohali The Union Cabinet has also approved that Ministry of Electronics; Information Technology; Mohali has been brought under the administrative control of Ministry of Electronics; Micron Technology,Gujarat,OSAT; ATMP; Advanced Packaging; Semiconductor Design,22516.0,14; 1500,June 2023,"investment, approved, crore, semiconductor, ATMP, OSAT, fab, fabrication, display",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,93,Tata Electronics Private Limited; CG Power and Industrial Solutions Limited; The facility will be set up as joint venture partnership with Renesas Electronics America Inc.; Kaynes Technology India Limited; Private Limited,Gujarat; Assam; Odisha; Punjab; Andhra Pradesh; Uttar Pradesh,Semiconductor Fab; OSAT; ATMP; Advanced Packaging,91526.0,"15.07; 6.33; 36; 4.20; 8; 158.38; 96; 15.07; 6.33; 50,000; 5,000; 48",February 2024,"investment, approved, crore, semiconductor, ATMP, OSAT, fab, display",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,94,Multi Nano Sense Technologies Pvt. Ltd.; Sophrosyne Technologies Pvt. Ltd.; MMRFIC Technology Pvt. Ltd.; Incise Infotech Limited; Calligo Technologies,,Semiconductor Design,,,,"investment, approved, semiconductor",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,96,Applied Materials Inc.; Moschip Technologies; Microchip Technology; RAnnEuaPl ORT Ministry of Electronics; Information Technology,Odisha; Karnataka,Semiconductor Design,,,,"investment, approved, semiconductor, fab",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,97,Applied Materials Inc.; Microchip Technology; Ministry of Electronics; Information Technology,Karnataka,Advanced Packaging; Semiconductor Design,,,,"investment, semiconductor, fab, display",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,100,Investment Promotion Roadshow for Electronics; Ministry of Electronics; Information Technology; Taiwan Electronics; Japan Industrial Collaboration and Investment in Electronics,,,,,,"investment, semiconductor",LOW
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,103,Likhotronics Pvt. Ltd.; Bilirubin Sensor Healthcare Instrumentation Pvt. Ltd.; Prompt Equipment Pvt. Ltd.; Ministry of Electronics; Technology Industry Sector Status Sensa Core Medical Technology,,Advanced Packaging,83.08,,24.11.2023,"approved, crore, fab, fabrication, display, project cost",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,146,RAnnEuaPl ORT Ministry of Electronics; Information Technology,,Display Fab; Semiconductor Design,1000.0,,,"approved, crore, semiconductor, fab, display",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,153,Indrarka Quantum Technologies Pvt. Ltd.; Innovate and Design in India No. Technology; Indrarka Quantum Technologies; IIT Kharagpur. Major achievements Ministry of Electronics; Information Technology,,Advanced Packaging; Semiconductor Design,,,,"crore, fab, fabrication",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,162,Innovate and Design in India Products developed under IICG program were demonstrated at International Conclave on Next-Gen Higher Education held at Cochin University of Science & Technology; The i-Graphene Certificate Programme has offered courses on AI and Graphene Technology; Keysight Technologies; ITeS and Electronics; These initiatives includes Technology,,Semiconductor Design,490.0,,,"crore, semiconductor",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,197,Visvesvaraya PhD Scheme for Electronics; Ministry of Electronics; Information Technology,,Semiconductor Design,,,,"crore, semiconductor",MEDIUM
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,201,D Printing & Additive Manufacturing Technology; The Ministry of Electronics; Information Technology; D Printing and Additive Manufacturing Technology; Programme is an umbrella programme initiated by Ministry of Electronics,West Bengal; Bihar,Semiconductor Design,250.0,,,"approved, crore, semiconductor, fab, fabrication",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,299,Drone and related Technology; Ministry of Electronics; Information Technology,,Semiconductor Design,89.87,,11/7/2023,"crore, fab, fabrication",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,301,A Proof-of-concept scanner development Project has been approved by Ministry of Science & Technology; Leveraging AI and Cloud Technology; Ministry of Electronics; Information Technology,,Semiconductor Design,18.04,,13.08.2021,"approved, crore, fab, fabrication, display",HIGH
