dli_project_id,official_serial_no,company,project_name,project_outlay_lakh,state,project_scope,scheme,project_type,project_outlay_crore,investment_crore,approval_year,approval_date,approval_confirmed_as_of,source_document,source_url,source_type,source_authority,official_source_confirmed,financial_support_confirmed,data_quality_flag,technology,application,chip_node
DLI-001,1,Fermionic Design Pvt. Ltd.,A 4-channel Mux-Demux Gain Phase Shifter for Hybrid Beamformer in 8-12GHz for satellite communication and 5G Antenna Array systems,1047.19,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,10.4719,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,RF/Radar; 5G,Telecommunications,
DLI-002,2,Morphing Machines Pvt. Ltd.,"SoC, IP and Accelerator card powered by REDEFINE architecture and Ecosystem",2048.83,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,20.4883,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,SoC; AI Accelerator,,
DLI-003,3,Calligo Technologies Pvt. Ltd.,SoC with RISC V and POSIT Coprocessor based Accelerator Card with Software Ecosystem,4192.75,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,41.9275,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,SoC; RISC-V; AI Accelerator; Processor,,
DLI-004,4,Sensesemi Technologies Pvt. Ltd.,SenseSoC-200 SoC for IOT and Medical Applications,3907.02,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,39.0702,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,SoC,IoT; Medical,
DLI-005,5,Saankhya Labs Pvt. Ltd.,SoC for Baseband Processing for 5G Telecom infrastructure,2558.77,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,25.587699999999998,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,SoC; 5G,Telecommunications,
DLI-006,6,Aryabhata Circuits and Research Labs Pvt. Ltd.,Next Generation IC for Advanced Tire Monitoring System (TMS),4095.49,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,40.954899999999995,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,,Automotive,
DLI-007,7,BigEndian Semiconductors Pvt. Ltd.,"SoC for Video Audio Surveillance Unit, Design and Development",3108.0,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,31.08,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,SoC,Surveillance,
DLI-008,8,C2i Semiconductors Pvt. Ltd.,A Digital Multiphase Controller IC for Enterprise Server Power,8375.2,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,83.75200000000001,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,,,
DLI-009,9,MMRFIC Technology Pvt. Ltd.,Indigenous Ka-Band Beamformer RADAR Chip,1253.04,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,12.5304,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,RF/Radar,,
DLI-010,10,Sophrosyne Technologies Pvt. Ltd.,"High-precision, Ultra-low-power SoC for real-time monitoring of cardiac activity and other vital health parameters",2147.1,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,21.471,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,SoC,Medical,
DLI-011,11,Aagyavision Pvt. Ltd.,Radar RF chips for edge applications,2547.9,Karnataka,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,25.479,,,,2026-04-01,"Lok Sabha Unstarred Question No. 6140, MeitY, Annexure-I, 01-04-2026",https://sansad.in/getFile/loksabhaquestions/annex/187/AU6140_qbSWBV.pdf?source=pqals,Government Parliamentary Record,"Ministry of Electronics and Information Technology, Government of India",YES,YES,VERIFIED_OFFICIAL,RF/Radar,,
