feature,non_null,missing,coverage_pct,unique_values,zero_variance,all_missing
is_manufacturing,36,0,100.0,2,NO,NO
is_design,36,0,100.0,2,NO,NO
is_fab,36,0,100.0,2,NO,NO
is_osat,36,0,100.0,2,NO,NO
is_atmp,36,0,100.0,2,NO,NO
is_design_project,36,0,100.0,2,NO,NO
financial_measure_crore,36,0,100.0,36,NO,NO
log_financial_measure,36,0,100.0,36,NO,NO
financial_rank_within_scope,36,0,100.0,24,NO,NO
financial_size_relative_to_scope_max,36,0,100.0,35,NO,NO
financial_zscore_within_scope,36,0,100.0,36,NO,NO
state_project_count,36,0,100.0,6,NO,NO
scope_state_project_count,36,0,100.0,6,NO,NO
scope_state_project_share,36,0,100.0,6,NO,NO
state_financial_total_crore,36,0,100.0,13,NO,NO
state_financial_share_within_scope,36,0,100.0,13,NO,NO
company_project_count,36,0,100.0,2,NO,NO
multi_project_company_flag,36,0,100.0,2,NO,NO
has_technology_info,36,0,100.0,2,NO,NO
has_application_info,36,0,100.0,2,NO,NO
is_ai_related,36,0,100.0,2,NO,NO
is_telecom_related,36,0,100.0,2,NO,NO
is_automotive_related,36,0,100.0,2,NO,NO
is_iot_related,36,0,100.0,2,NO,NO
is_medical_related,36,0,100.0,2,NO,NO
has_chip_node,36,0,100.0,2,NO,NO
capacity_available,36,0,100.0,2,NO,NO
log_capacity_value,12,24,33.33,12,NO,NO
has_technology_partner,36,0,100.0,2,NO,NO
approval_year,12,24,33.33,4,NO,NO
approval_year_available,36,0,100.0,2,NO,NO
record_completeness_score,36,0,100.0,3,NO,NO
analytical_exposure_index,36,0,100.0,36,NO,NO
analytical_exposure_percentile,36,0,100.0,24,NO,NO
