project_id,approval_year_analytical,investment_crore_analytical,log_financial_measure,financial_rank_within_scope,financial_size_relative_to_scope_max,financial_zscore_within_scope,state_project_count,scope_state_project_count,scope_state_project_share,state_financial_total_crore,state_financial_share_within_scope,company_project_count,multi_project_company_flag,is_fab,is_osat,is_atmp,has_technology_partner,log_capacity_value,rbi_electronics_credit_crore,rbi_electronics_credit_growth_pct,rbi_electronics_credit_growth_volatility,total_gross_npa_closing_crore,total_net_npa_closing_crore,total_gross_npa_addition_crore,total_gross_npa_reduction_crore,total_gross_npa_writeoff_crore,gross_npa_growth_pct,net_to_gross_npa_ratio,npa_addition_pressure,investment_to_electronics_credit_ratio,investment_to_electronics_credit_pct,log_investment_crore,investment_credit_growth_interaction,investment_credit_volatility_interaction,investment_npa_growth_interaction,investment_npa_ratio_interaction,investment_npa_pressure_interaction,analytical_exposure_index,analytical_exposure_percentile
SEM-0001,2023.0,22516.0,10.02202585845966,0.8333333333333334,0.2460065992177086,0.3536651258678704,6,6,0.5,128869.0,0.7843470216249444,1,0,0,0,1,0,2.70805020110221,40836.84364,11.13477360152293,3.969131659234745,36763.7,8384.32,11150.39,10099.27,18346.82,-31.993881,0.22806,0.303299,0.5513648458850382,55.13648458850382,10.02202585845966,250710.5624118903,89368.96843932952,-720374.2245959999,5134.99896,6829.080284,0.5392267849860927,0.8333333333333334
SEM-0002,2024.0,91526.0,11.424389289702704,1.0,1.0,3.1195013540053025,6,6,0.5,128869.0,0.7843470216249444,2,1,1,0,0,1,10.819798284210286,43395.91409,6.266572589594976,3.8441118377064902,31833.63,7213.34,10396.53,4729.29,10597.31,-13.410157,0.226595,0.32659,2.1090925705627876,210.90925705627876,11.424389289702704,573554.3228352698,351836.18005792424,-1227378.029582,20739.33397,29891.476339999997,0.9281156738749816,1.0
SEM-0003,2024.0,27120.0,10.208063614530875,0.9166666666666666,0.2963092454603063,0.538187803658694,1,1,0.0833333333333333,27120.0,0.1650629028429528,2,1,0,1,0,0,3.8918202981106265,43395.91409,6.266572589594976,3.8441118377064902,31833.63,7213.34,10396.53,4729.29,10597.31,-13.410157,0.226595,0.32659,0.6249436281893976,62.49436281893976,10.208063614530875,169949.44862981577,104252.31303860004,-363683.45784,6145.256399999999,8857.1208,0.6939098565032066,0.9166666666666666
SEM-0004,2024.0,7584.0,8.933927891782632,0.75,0.0828617005004042,-0.2447911349428546,6,6,0.5,128869.0,0.7843470216249444,1,0,0,1,0,1,2.776954179749421,43395.91409,6.266572589594976,3.8441118377064902,31833.63,7213.34,10396.53,4729.29,10597.31,-13.410157,0.226595,0.32659,0.1747629969096014,17.476299690960147,8.933927891782632,47525.6865194883,29153.744177166027,-101702.630688,1718.49648,2476.85856,0.5114490072083148,0.75
SEM-0005,2024.0,3307.0,8.104099056143582,0.5833333333333334,0.0361318095404584,-0.4162080534726879,6,6,0.5,128869.0,0.7843470216249444,1,0,0,1,0,1,1.99197551589856,43395.91409,6.266572589594976,3.8441118377064902,31833.63,7213.34,10396.53,4729.29,10597.31,-13.410157,0.226595,0.32659,0.0762053310627705,7.620533106277056,8.104099056143582,20723.555553790586,12712.477847295364,-44347.389199,749.349665,1080.03313,0.4558934516527593,0.6666666666666666
SEM-0006,2025.0,3706.0,8.217978203150732,0.6666666666666666,0.0404912265367218,-0.4002166224478099,3,1,0.0833333333333333,3706.0,0.0225561621657811,1,0,0,1,0,1,3.610917912644224,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,0.0701056170100776,7.010561701007763,8.217978203150732,80849.49676814149,29476.26179900444,-46552.552106,931.22515,1239.571762,0.2297409429441492,0.4166666666666667
SEM-0007,2025.0,1943.0,7.572502985020384,0.3333333333333333,0.0212289404103751,-0.4708755018885618,2,2,0.1666666666666666,4009.0,0.0244003384032963,1,0,0,0,0,0,1.6486586255873816,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,0.036755319441603,3.675531944160303,7.572502985020384,42388.17383175901,15453.960247022564,-24406.802143,488.22732500000006,649.888811,0.1192445572455432,0.25
SEM-0008,2025.0,2066.0,7.633853559681768,0.4166666666666667,0.0225728208377947,-0.4659458126252536,2,2,0.1666666666666666,4009.0,0.0244003384032963,1,0,1,0,1,1,8.517393171418904,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,0.0390820843882408,3.90820843882408,7.633853559681768,45071.521943599655,16432.26035530037,-25951.854466,519.1341500000001,691.029482,0.147022335023321,0.3333333333333333
SEM-0009,2025.0,117.0,4.770684624465665,0.0833333333333333,0.0012783252846185,-0.5440593441227156,1,1,0.0833333333333333,117.0,0.0007121076560702,1,0,0,0,0,0,5.071291287969602,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,0.0022132642175334,0.2213264217533481,4.770684624465665,2552.453081994753,930.5781517764487,-1469.683917,29.399175000000003,39.133809,0.0280151469964678,0.0833333333333333
SEM-0010,2025.0,480.0,6.175867270105761,0.1666666666666666,0.0052444114240762,-0.5295107489797815,1,1,0.0833333333333333,480.0,0.0029214673069549,1,0,0,1,0,1,4.574710978503383,52863.09654,21.81583830764746,7.953659416892725,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401,0.251275,0.334477,0.0090800583283424,0.9080058328342488,6.175867270105761,10471.60238767078,3817.756520108508,-6029.47248,120.612,160.54896000000002,0.0565293779912071,0.1666666666666666
