feature_1,feature_2,correlation,abs_correlation
company_project_count,multi_project_company_flag,1.0,1.0
financial_size_relative_to_scope_max,financial_zscore_within_scope,1.0,1.0
investment_crore_analytical,financial_size_relative_to_scope_max,1.0,1.0
investment_crore_analytical,financial_zscore_within_scope,1.0,1.0
scope_state_project_count,scope_state_project_share,1.0,1.0
state_financial_total_crore,state_financial_share_within_scope,1.0,1.0
log_financial_measure,log_investment_crore,1.0,1.0
investment_to_electronics_credit_ratio,investment_to_electronics_credit_pct,1.0,1.0
investment_crore_analytical,investment_npa_ratio_interaction,0.999989,0.999989
financial_size_relative_to_scope_max,investment_npa_ratio_interaction,0.999989,0.999989
financial_zscore_within_scope,investment_npa_ratio_interaction,0.999989,0.999989
rbi_electronics_credit_growth_volatility,net_to_gross_npa_ratio,0.999861,0.999861
financial_size_relative_to_scope_max,investment_npa_pressure_interaction,0.999833,0.999833
financial_zscore_within_scope,investment_npa_pressure_interaction,0.999833,0.999833
investment_crore_analytical,investment_npa_pressure_interaction,0.999833,0.999833
investment_npa_ratio_interaction,investment_npa_pressure_interaction,0.999816,0.999816
financial_zscore_within_scope,investment_to_electronics_credit_pct,0.999793,0.999793
financial_size_relative_to_scope_max,investment_to_electronics_credit_pct,0.999793,0.999793
financial_size_relative_to_scope_max,investment_to_electronics_credit_ratio,0.999793,0.999793
investment_crore_analytical,investment_to_electronics_credit_ratio,0.999793,0.999793
investment_crore_analytical,investment_to_electronics_credit_pct,0.999793,0.999793
financial_zscore_within_scope,investment_to_electronics_credit_ratio,0.999793,0.999793
investment_to_electronics_credit_ratio,investment_npa_ratio_interaction,0.999786,0.999786
investment_to_electronics_credit_pct,investment_npa_ratio_interaction,0.999786,0.999786
total_net_npa_closing_crore,total_gross_npa_writeoff_crore,0.999707,0.999707
investment_to_electronics_credit_ratio,investment_npa_pressure_interaction,0.99933,0.99933
investment_to_electronics_credit_pct,investment_npa_pressure_interaction,0.99933,0.99933
investment_credit_volatility_interaction,investment_npa_ratio_interaction,0.999144,0.999144
total_gross_npa_reduction_crore,gross_npa_growth_pct,-0.99901,0.99901
investment_credit_volatility_interaction,investment_npa_pressure_interaction,0.998853,0.998853
financial_zscore_within_scope,investment_credit_volatility_interaction,0.998727,0.998727
financial_size_relative_to_scope_max,investment_credit_volatility_interaction,0.998727,0.998727
investment_crore_analytical,investment_credit_volatility_interaction,0.998727,0.998727
investment_to_electronics_credit_ratio,investment_credit_volatility_interaction,0.997981,0.997981
investment_to_electronics_credit_pct,investment_credit_volatility_interaction,0.997981,0.997981
approval_year_analytical,total_gross_npa_closing_crore,-0.99758,0.99758
approval_year_analytical,total_gross_npa_addition_crore,-0.994112,0.994112
total_gross_npa_writeoff_crore,npa_addition_pressure,-0.990689,0.990689
total_net_npa_closing_crore,total_gross_npa_reduction_crore,0.989372,0.989372
rbi_electronics_credit_growth_pct,net_to_gross_npa_ratio,0.988354,0.988354
total_net_npa_closing_crore,npa_addition_pressure,-0.987106,0.987106
total_gross_npa_reduction_crore,total_gross_npa_writeoff_crore,0.985565,0.985565
rbi_electronics_credit_crore,net_to_gross_npa_ratio,0.984194,0.984194
total_gross_npa_closing_crore,total_gross_npa_addition_crore,0.984173,0.984173
investment_credit_growth_interaction,investment_credit_volatility_interaction,0.982904,0.982904
investment_credit_growth_interaction,investment_npa_growth_interaction,-0.982679,0.982679
rbi_electronics_credit_crore,total_gross_npa_addition_crore,-0.982403,0.982403
total_net_npa_closing_crore,gross_npa_growth_pct,-0.981923,0.981923
investment_to_electronics_credit_pct,investment_credit_growth_interaction,0.981757,0.981757
investment_to_electronics_credit_ratio,investment_credit_growth_interaction,0.981757,0.981757
scope_state_project_share,state_financial_share_within_scope,0.981288,0.981288
scope_state_project_count,state_financial_total_crore,0.981288,0.981288
scope_state_project_count,state_financial_share_within_scope,0.981288,0.981288
scope_state_project_share,state_financial_total_crore,0.981288,0.981288
investment_credit_growth_interaction,investment_npa_ratio_interaction,0.979793,0.979793
investment_crore_analytical,investment_credit_growth_interaction,0.979769,0.979769
financial_zscore_within_scope,investment_credit_growth_interaction,0.979769,0.979769
financial_size_relative_to_scope_max,investment_credit_growth_interaction,0.979769,0.979769
approval_year_analytical,rbi_electronics_credit_crore,0.977724,0.977724
total_gross_npa_writeoff_crore,gross_npa_growth_pct,-0.977057,0.977057
investment_credit_growth_interaction,investment_npa_pressure_interaction,0.975992,0.975992
analytical_exposure_index,analytical_exposure_percentile,0.974849,0.974849
state_project_count,scope_state_project_share,0.97247,0.97247
state_project_count,scope_state_project_count,0.97247,0.97247
log_financial_measure,financial_rank_within_scope,0.969483,0.969483
financial_rank_within_scope,log_investment_crore,0.969483,0.969483
state_project_count,state_financial_share_within_scope,0.959457,0.959457
state_project_count,state_financial_total_crore,0.959457,0.959457
total_gross_npa_closing_crore,npa_addition_pressure,-0.955395,0.955395
total_gross_npa_reduction_crore,npa_addition_pressure,-0.95334,0.95334
investment_to_electronics_credit_ratio,investment_npa_growth_interaction,-0.952251,0.952251
investment_to_electronics_credit_pct,investment_npa_growth_interaction,-0.952251,0.952251
investment_npa_growth_interaction,investment_npa_ratio_interaction,-0.947001,0.947001
financial_size_relative_to_scope_max,investment_npa_growth_interaction,-0.946818,0.946818
financial_zscore_within_scope,investment_npa_growth_interaction,-0.946818,0.946818
investment_crore_analytical,investment_npa_growth_interaction,-0.946818,0.946818
investment_credit_volatility_interaction,investment_npa_growth_interaction,-0.94519,0.94519
investment_npa_growth_interaction,investment_npa_pressure_interaction,-0.940795,0.940795
