feature,non_null,missing,coverage_pct,unique_values,zero_variance,all_missing
approval_year_analytical,12,0,100.0,4,NO,NO
investment_crore_analytical,12,0,100.0,12,NO,NO
log_financial_measure,12,0,100.0,12,NO,NO
financial_rank_within_scope,12,0,100.0,12,NO,NO
financial_size_relative_to_scope_max,12,0,100.0,12,NO,NO
financial_zscore_within_scope,12,0,100.0,12,NO,NO
state_project_count,12,0,100.0,4,NO,NO
scope_state_project_count,12,0,100.0,3,NO,NO
scope_state_project_share,12,0,100.0,3,NO,NO
state_financial_total_crore,12,0,100.0,6,NO,NO
state_financial_share_within_scope,12,0,100.0,6,NO,NO
company_project_count,12,0,100.0,2,NO,NO
multi_project_company_flag,12,0,100.0,2,NO,NO
is_fab,12,0,100.0,2,NO,NO
is_osat,12,0,100.0,2,NO,NO
is_atmp,12,0,100.0,2,NO,NO
has_technology_partner,12,0,100.0,2,NO,NO
log_capacity_value,12,0,100.0,12,NO,NO
rbi_electronics_credit_crore,12,0,100.0,4,NO,NO
rbi_electronics_credit_growth_pct,12,0,100.0,4,NO,NO
rbi_electronics_credit_growth_volatility,12,0,100.0,4,NO,NO
total_gross_npa_closing_crore,10,2,83.33,3,NO,NO
total_net_npa_closing_crore,10,2,83.33,3,NO,NO
total_gross_npa_addition_crore,10,2,83.33,3,NO,NO
total_gross_npa_reduction_crore,10,2,83.33,3,NO,NO
total_gross_npa_writeoff_crore,10,2,83.33,3,NO,NO
gross_npa_growth_pct,10,2,83.33,3,NO,NO
net_to_gross_npa_ratio,10,2,83.33,3,NO,NO
npa_addition_pressure,10,2,83.33,3,NO,NO
investment_to_electronics_credit_ratio,12,0,100.0,12,NO,NO
investment_to_electronics_credit_pct,12,0,100.0,12,NO,NO
log_investment_crore,12,0,100.0,12,NO,NO
investment_credit_growth_interaction,12,0,100.0,12,NO,NO
investment_credit_volatility_interaction,12,0,100.0,12,NO,NO
investment_npa_growth_interaction,10,2,83.33,10,NO,NO
investment_npa_ratio_interaction,10,2,83.33,10,NO,NO
investment_npa_pressure_interaction,10,2,83.33,10,NO,NO
analytical_exposure_index,12,0,100.0,12,NO,NO
analytical_exposure_percentile,12,0,100.0,12,NO,NO
