sector,credit_2019_crore,credit_2020_crore,credit_2021_crore,credit_2022_crore,credit_2023_crore,credit_2024_crore,credit_2025_crore,credit_2026_crore,credit_growth_2019_2020_pct,credit_growth_2020_2021_pct,credit_growth_2021_2022_pct,credit_growth_2022_2023_pct,credit_growth_2023_2024_pct,credit_growth_2024_2025_pct,credit_growth_2025_2026_pct,credit_growth_mean_pct,credit_growth_volatility_pct
Sector,,,,,,,,,,,,,,,,,
Mining and Quarrying (incl. Coal),41681.48,45406.79,43498.1901,50352.797441,60221.13672,54220.1844,56817.55619,60930.81628,8.937566516352101,-4.203335888751442,15.758373682310985,19.598393297935534,-9.964860590230327,4.790414895748684,7.239417472031184,6.02228134077096,10.414349617702973
Food Processing,147312.94,144268.84,156556.8267,171988.79019,181771.533928,208862.7716,219524.7981,250187.0083,-2.0664172475276144,8.517422542525473,9.857100335567797,5.688012414758408,14.904004541619209,5.104799873296332,13.96753827603223,7.996065819467404,5.803066111337901
Sugar,29471.99,27563.45,26490.40038,25792.265018,22613.743388,26383.01125,28521.70209,29742.41651,-6.475775812898962,-3.893016367689827,-2.635427747355176,-12.323545945971636,16.66804030331469,8.106318189891986,4.279949408867837,0.5323631468798444,9.796058462140998
Edible Oils and Vanaspati,19173.0,16521.68,17998.84563,17384.054944,18982.718062,19700.21613,20927.25364,26225.64579,-13.828404527199705,8.940771338023733,-3.415722867111452,9.196146256726882,3.77974358390911,6.228548468214182,25.31814370459362,5.174175136736624,12.069821128022904
Tea,3603.0,4929.18,5059.66,5685.199499,5244.916407,5691.947888,5083.83262,5126.835226,36.80766028309743,2.6470934313618,12.363271425352702,-7.744373650870902,8.523138336454329,-10.68378136915226,0.8458698233066535,6.108411182792821,15.816397186091386
Others,95064.95,95254.53,107007.9207,123127.27073,134930.156072,157087.5963,164992.0098,189092.1108,0.19942155336956655,12.33893096737762,15.063698018384168,9.585922981986664,16.421414510316414,5.031850818383166,14.606829160523382,10.464009715762996,5.9577294858729966
Beverage and Tobacco,14638.31,18025.49,17804.60937,18475.74327,23780.123777,31137.4711,35515.45461,40158.25845,23.139146527160595,-1.2253793378155229,3.769439059588876,28.709970849253967,30.939062353056308,14.0601768715893,13.072629622746648,16.06643513508288,12.208522884084806
Textiles,200939.28,193452.92,204971.7757,224314.895866,230275.235697,256047.9836,277267.0852,301868.4233,-3.725682703750101,5.954345739521525,9.436967650761298,2.6571306412751765,11.192149179650487,8.287158251223957,8.87279428867457,6.096409006765273,5.1308852495814445
Cotton Textiles,91359.57,83046.06,86367.72814,88625.279138,90065.816094,99513.08708,107494.5958,110268.4446,-9.099769186742023,3.9997901646387666,2.613882576997459,1.6254244500115038,10.489297044885557,8.020561872011415,2.5804541887490937,2.889948730078825,6.202545052954715
