year,total_gross_npa_closing_crore,total_net_npa_closing_crore,total_gross_npa_addition_crore,total_gross_npa_reduction_crore,total_gross_npa_writeoff_crore,gross_npa_growth_pct,net_to_gross_npa_ratio,npa_addition_pressure
2005,399.51,193.95,129.46,213.61,0.0,,0.4854697003829691,0.32404695752296564
2006,388.73,187.16,150.69,161.47,0.0,-2.698305424144576,0.4814652843876212,0.38764695289789824
2007,463.03,222.8,243.26,168.96,0.0,19.11352352532605,0.48117832537848526,0.52536552707168
2008,437.31,209.09,291.99,317.71,0.0,-5.554715677169941,0.47812764400539665,0.6676956849831928
2009,490.33,252.94,336.02,237.09,45.91,12.124122476046729,0.5158566679583138,0.6852935777945465
2010,611.85,270.18,516.7,372.56,22.62,24.783309199926595,0.4415788183378279,0.8444880281114653
2011,835.4,341.33,616.71,227.4,165.76,36.536732859360946,0.4085827148671295,0.7382212113957386
2012,1651.47,945.41,1571.93,480.77,275.09,97.68613837682547,0.5724657426414043,0.9518368483835613
2013,2119.49,1304.06,1627.88,696.61,463.25,28.33960047715065,0.6152706547329783,0.7680526919211699
2014,2732.78,1770.85,2123.54,1510.25,0.0,28.935734539912914,0.6480031323414251,0.7770621857595561
2015,2945.14,1769.17,1687.45,1111.97,363.12,7.770841414237495,0.6007082855144408,0.5729608779209138
2016,3602.76,2005.19,2719.49,1209.53,852.34,22.328989453812053,0.5565705181583008,0.7548351819160865
2017,10676.79,6829.7,9673.74,1013.87,1585.84,196.35029810478636,0.6396772812802349,0.9060532238622282
2018,26562.79,12229.13,12903.28,3379.08,3649.24,148.7900389536555,0.4603857501414572,0.48576523776305125
2019,28704.78,7419.31,10726.32,4301.34,4282.99,8.063874314407471,0.2584694953244721,0.3736771366998807
2020,27846.87,8088.09,13246.13,5101.06,9002.98,-2.988735673988796,0.29044880088857383,0.4756775177964346
2021,66670.98,21799.89,20005.12,7290.06,15425.51,139.420013811247,0.326977194575511,0.3000573862871072
2022,54059.4,13364.65,14255.33,8448.15,18418.77,-18.91614612534568,0.24722157478625362,0.2636975253147464
2023,36763.7,8384.32,11150.39,10099.27,18346.82,-31.99388080518838,0.22805974371458804,0.3032989062580752
2024,31833.63,7213.34,10396.53,4729.29,10597.31,-13.41015730190377,0.22659495634019747,0.3265895218358698
2025,27834.88,6994.22,9310.13,4320.06,8988.82,-12.561401260239569,0.2512753782304792,0.33447710211073295
