feature,dtype,non_null,missing,coverage_pct,unique_values,zero_variance,manufacturing_coverage_pct,manufacturing_unique_values,semiconductor_design_coverage_pct,semiconductor_design_unique_values
is_manufacturing,int64,36,0,100.0,2,NO,100.0,1,100.0,1
is_design,int64,36,0,100.0,2,NO,100.0,1,100.0,1
is_fab,int64,36,0,100.0,2,NO,100.0,2,100.0,1
is_osat,int64,36,0,100.0,2,NO,100.0,2,100.0,1
is_atmp,int64,36,0,100.0,2,NO,100.0,2,100.0,1
financial_measure_crore,float64,36,0,100.0,36,NO,100.0,12,100.0,24
log_financial_measure,float64,36,0,100.0,36,NO,100.0,12,100.0,24
financial_rank_within_scope,float64,36,0,100.0,24,NO,100.0,12,100.0,24
financial_size_relative_to_scope_max,float64,36,0,100.0,35,NO,100.0,12,100.0,24
financial_zscore_within_scope,float64,36,0,100.0,36,NO,100.0,12,100.0,24
state_project_count,int64,36,0,100.0,6,NO,100.0,4,100.0,5
scope_state_project_count,int64,36,0,100.0,6,NO,100.0,3,100.0,5
scope_state_project_share,float64,36,0,100.0,6,NO,100.0,3,100.0,5
state_financial_total_crore,float64,36,0,100.0,13,NO,100.0,6,100.0,7
state_financial_share_within_scope,float64,36,0,100.0,13,NO,100.0,6,100.0,7
company_project_count,int64,36,0,100.0,2,NO,100.0,2,100.0,2
multi_project_company_flag,int64,36,0,100.0,2,NO,100.0,2,100.0,2
has_technology_info,int64,36,0,100.0,2,NO,100.0,1,100.0,2
has_application_info,int64,36,0,100.0,2,NO,100.0,1,100.0,2
is_ai_related,int64,36,0,100.0,2,NO,100.0,1,100.0,2
is_telecom_related,int64,36,0,100.0,2,NO,100.0,1,100.0,2
is_automotive_related,int64,36,0,100.0,2,NO,100.0,1,100.0,2
is_iot_related,int64,36,0,100.0,2,NO,100.0,1,100.0,2
is_medical_related,int64,36,0,100.0,2,NO,100.0,1,100.0,2
chip_node_nm,float64,1,35,2.78,1,YES,0.0,0,4.17,1
has_chip_node,int64,36,0,100.0,2,NO,100.0,1,100.0,2
capacity_available,int64,36,0,100.0,2,NO,100.0,1,100.0,1
log_capacity_value,float64,12,24,33.33,12,NO,100.0,12,0.0,0
has_technology_partner,int64,36,0,100.0,2,NO,100.0,2,100.0,1
approval_year,float64,12,24,33.33,4,NO,100.0,4,0.0,0
approval_year_available,int64,36,0,100.0,2,NO,100.0,1,100.0,1
record_completeness_score,float64,36,0,100.0,3,NO,100.0,1,100.0,3
analytical_exposure_index,float64,36,0,100.0,36,NO,100.0,12,100.0,24
analytical_exposure_percentile,float64,36,0,100.0,24,NO,100.0,12,100.0,24
