feature,dtype,non_null,missing,coverage_pct,unique_values,zero_variance,manufacturing_coverage_pct,semiconductor_design_coverage_pct,field_role,ml_status
ecosystem_id,object,36,0,100.0,36,NO,100.0,100.0,METADATA,EXCLUDE_METADATA
source_project_id,object,36,0,100.0,36,NO,100.0,100.0,METADATA,EXCLUDE_METADATA
project_scope,object,36,0,100.0,2,NO,100.0,100.0,STRUCTURAL,POTENTIALLY_USABLE
company,object,36,0,100.0,34,NO,100.0,100.0,IDENTITY,EXCLUDE_IDENTITY
project_name,object,24,12,66.67,24,NO,0.0,100.0,IDENTITY,EXCLUDE_IDENTITY
project_type,object,36,0,100.0,7,NO,100.0,100.0,STRUCTURAL,POTENTIALLY_USABLE
project_type_standardized,object,36,0,100.0,6,NO,100.0,100.0,STRUCTURAL,POTENTIALLY_USABLE
project_group,object,36,0,100.0,5,NO,100.0,100.0,STRUCTURAL,POTENTIALLY_USABLE
scheme,object,36,0,100.0,2,NO,100.0,100.0,STRUCTURAL,POTENTIALLY_USABLE
state,object,36,0,100.0,12,NO,100.0,100.0,STRUCTURAL,POTENTIALLY_USABLE
approval_date,object,12,24,33.33,6,NO,100.0,0.0,TIME,POTENTIALLY_USABLE
approval_year,float64,12,24,33.33,4,NO,100.0,0.0,TIME,POTENTIALLY_USABLE
investment_crore,float64,12,24,33.33,12,NO,100.0,0.0,FINANCIAL,SCOPE_SPECIFIC
project_outlay_crore,float64,24,12,66.67,24,NO,0.0,100.0,FINANCIAL,SCOPE_SPECIFIC
financial_measure_type,object,36,0,100.0,2,NO,100.0,100.0,FINANCIAL,POTENTIALLY_USABLE
financial_measure_crore,float64,36,0,100.0,36,NO,100.0,100.0,FINANCIAL,CAUTION_SCOPE_DEPENDENT
capacity_value,float64,12,24,33.33,12,NO,100.0,0.0,CAPACITY,POTENTIALLY_USABLE
capacity_unit,object,12,24,33.33,10,NO,100.0,0.0,CAPACITY,POTENTIALLY_USABLE
capacity_category,object,12,24,33.33,9,NO,100.0,0.0,CAPACITY,POTENTIALLY_USABLE
technology,object,33,3,91.67,28,NO,100.0,87.5,TECHNOLOGY,POTENTIALLY_USABLE
technology_partner,object,6,30,16.67,6,NO,50.0,0.0,TECHNOLOGY,LOW_COVERAGE
application,object,16,20,44.44,12,NO,0.0,66.67,TECHNOLOGY,POTENTIALLY_USABLE
chip_node,object,1,35,2.78,1,YES,0.0,4.17,TECHNOLOGY,EXCLUDE_ZERO_VARIANCE
source_document,object,36,0,100.0,4,NO,100.0,100.0,METADATA,EXCLUDE_METADATA
source_url,object,24,12,66.67,1,YES,0.0,100.0,METADATA,EXCLUDE_METADATA
source_authority,object,36,0,100.0,4,NO,100.0,100.0,METADATA,EXCLUDE_METADATA
data_quality_flag,object,36,0,100.0,2,NO,100.0,100.0,METADATA,EXCLUDE_METADATA
