ecosystem_id,is_manufacturing,is_design,is_fab,is_osat,is_atmp,is_design_project,financial_measure_crore,log_financial_measure,financial_rank_within_scope,financial_size_relative_to_scope_max,financial_zscore_within_scope,state_project_count,scope_state_project_count,scope_state_project_share,state_financial_total_crore,state_financial_share_within_scope,company_project_count,multi_project_company_flag,has_technology_info,has_application_info,is_ai_related,is_telecom_related,is_automotive_related,is_iot_related,is_medical_related,has_chip_node,capacity_available,log_capacity_value,has_technology_partner,approval_year,approval_year_available,record_completeness_score,analytical_exposure_index,analytical_exposure_percentile
MFG-0001,1,0,0,0,1,0,22516.0,10.02202585845966,0.8333333333333334,0.2460065992177086,0.3536651258678704,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,0,1,2.70805020110221,0,2023.0,1,0.8,0.5392267849860927,0.8333333333333334
MFG-0002,1,0,1,0,0,0,91526.0,11.424389289702704,1.0,1.0,3.1195013540053025,6,6,0.5,128869.0,0.7843470216249444,2,1,1,0,0,0,0,0,0,0,1,10.819798284210286,1,2024.0,1,0.8,0.9281156738749816,1.0
MFG-0003,1,0,0,1,0,0,27120.0,10.208063614530875,0.9166666666666666,0.2963092454603063,0.538187803658694,1,1,0.0833333333333333,27120.0,0.1650629028429528,2,1,1,0,0,0,0,0,0,0,1,3.8918202981106265,0,2024.0,1,0.8,0.6939098565032066,0.9166666666666666
MFG-0004,1,0,0,1,0,0,7584.0,8.933927891782632,0.75,0.0828617005004042,-0.2447911349428546,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,0,1,2.776954179749421,1,2024.0,1,0.8,0.5114490072083148,0.75
MFG-0005,1,0,0,1,0,0,3307.0,8.104099056143582,0.5833333333333334,0.0361318095404584,-0.4162080534726879,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,0,1,1.99197551589856,1,2024.0,1,0.8,0.4558934516527593,0.6666666666666666
MFG-0006,1,0,0,1,0,0,3706.0,8.217978203150732,0.6666666666666666,0.0404912265367218,-0.4002166224478099,3,1,0.0833333333333333,3706.0,0.0225561621657811,1,0,1,0,0,0,0,0,0,0,1,3.610917912644224,1,2025.0,1,0.8,0.2297409429441492,0.4166666666666667
MFG-0007,1,0,0,0,0,0,1943.0,7.572502985020384,0.3333333333333333,0.0212289404103751,-0.4708755018885618,2,2,0.1666666666666666,4009.0,0.0244003384032963,1,0,1,0,0,0,0,0,0,0,1,1.6486586255873816,0,2025.0,1,0.8,0.1192445572455432,0.25
MFG-0008,1,0,1,0,1,0,2066.0,7.633853559681768,0.4166666666666667,0.0225728208377947,-0.4659458126252536,2,2,0.1666666666666666,4009.0,0.0244003384032963,1,0,1,0,0,0,0,0,0,0,1,8.517393171418904,1,2025.0,1,0.8,0.147022335023321,0.3333333333333333
MFG-0009,1,0,0,0,0,0,117.0,4.770684624465665,0.0833333333333333,0.0012783252846185,-0.5440593441227156,1,1,0.0833333333333333,117.0,0.0007121076560702,1,0,1,0,0,0,0,0,0,0,1,5.071291287969602,0,2025.0,1,0.8,0.0280151469964678,0.0833333333333333
MFG-0010,1,0,0,1,0,0,480.0,6.175867270105761,0.1666666666666666,0.0052444114240762,-0.5295107489797815,1,1,0.0833333333333333,480.0,0.0029214673069549,1,0,1,0,0,0,0,0,0,0,1,4.574710978503383,1,2025.0,1,0.8,0.0565293779912071,0.1666666666666666
MFG-0011,1,0,1,0,1,0,3068.0,8.029107054619736,0.5,0.0335205296855538,-0.4257868805778154,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,0,1,11.184435286790633,0,2026.0,1,0.8,0.4281156738749814,0.5833333333333334
MFG-0012,1,0,0,1,0,0,868.0,6.767343125265392,0.25,0.0094836439918711,-0.5139601844743863,6,6,0.5,128869.0,0.7843470216249444,1,0,1,0,0,0,0,0,0,0,1,6.941383459962121,0,2026.0,1,0.8,0.3447823405416481,0.5
DLI-001,0,1,0,0,0,1,10.4719,2.439900566943401,0.1666666666666666,0.1250346260387811,-1.1483534211595232,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,1,0,1,0,0,0,0,0,,0,,0,0.8,0.2069592650940396,0.3333333333333333
DLI-002,0,1,0,0,0,1,20.4883,3.0675086009641386,0.2916666666666667,0.244630575986245,-0.6229653411227424,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,0,1,0,0,0,0,0,0,,0,,0,0.6,0.2486259317607062,0.4166666666666667
DLI-003,0,1,0,0,0,1,41.9275,3.759512646205821,0.7916666666666666,0.5006149106886999,0.5015804163873961,11,11,0.4583333333333333,352.8129,0.4542111286154521,1,0,1,0,1,0,0,0,0,0,0,,0,,0,0.6,0.4152925984273729,0.875
