project_id,company,investment_crore,capacity_value,state,project_group,capacity_value,capacity_available,capacity_log,has_technology_partner,project_complexity,data_quality_score,is_fab,is_osat,is_atmp,is_sic,is_advanced_packaging,state_project_count,state_total_investment,state_investment_share,company_project_count,years_since_approval,state_Andhra Pradesh,state_Assam,state_Gujarat,state_Odisha,state_Punjab,state_Uttar Pradesh,project_group_Advanced_Packaging,project_group_Fabrication,project_group_Manufacturing,project_group_Packaging_Testing,investment_category_Large,investment_category_Medium,investment_category_Mega,investment_category_Small,target_investment_exposure
SEM-0001,Micron Technology Inc.,22516,14.0,Gujarat,Packaging_Testing,-0.3708695330920826,0.0,-0.6629473249455926,-1.224744871391589,0.33333333333333326,0.0,-0.49999999999999994,-1.0,2.9999999999999996,-0.49999999999999994,-0.3333333333333333,1.1795356492391769,1.215340357583484,1.2153403575834838,-0.4999999999999999,2.110579412044345,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.24600659921770862
SEM-0002,Tata Electronics Private Limited,91526,50000.0,Gujarat,Fabrication,2.9852062106517763,0.0,2.2390233350463093,0.816496580927726,0.33333333333333326,0.0,1.9999999999999998,-1.0,-0.3333333333333333,-0.49999999999999994,-0.3333333333333333,1.1795356492391769,1.215340357583484,1.2153403575834838,2.0,0.6030226891555273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
SEM-0003,Tata Electronics Private Limited,27120,48.0,Assam,Packaging_Testing,-0.36858676241054594,0.0,-0.23945462589989633,-1.224744871391589,0.33333333333333326,0.0,-0.49999999999999994,1.0,-0.3333333333333333,-0.49999999999999994,-0.3333333333333333,-1.0320936930842797,-0.45860056528728016,-0.45860056528728005,2.0,0.6030226891555273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.29630924546030635
SEM-0004,CG Power and Industrial Solutions Limited,7584,15.07,Gujarat,Packaging_Testing,-0.37079769295592835,0.0,-0.6382969878860251,0.816496580927726,0.33333333333333326,0.0,-0.49999999999999994,1.0,-0.3333333333333333,-0.49999999999999994,-0.3333333333333333,1.1795356492391769,1.215340357583484,1.2153403575834838,-0.4999999999999999,0.6030226891555273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.08286170050040426
SEM-0005,Kaynes Technology India Limited,3307,6.33,Gujarat,Packaging_Testing,-0.3713844993017116,0.0,-0.9191224065104676,0.816496580927726,0.33333333333333326,0.0,-0.49999999999999994,1.0,-0.3333333333333333,-0.49999999999999994,-0.3333333333333333,1.1795356492391769,1.215340357583484,1.2153403575834838,-0.4999999999999999,0.6030226891555273,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.03613180954045845
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,3706,36.0,Uttar Pradesh,Packaging_Testing,-0.36939244618050004,0.0,-0.3399472043914238,0.816496580927726,0.33333333333333326,0.0,-0.49999999999999994,1.0,-0.3333333333333333,-0.49999999999999994,-0.3333333333333333,-1.0320936930842797,-0.8593003983165919,-0.8593003983165918,-0.4999999999999999,-0.9045340337332908,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.040491226536721804
SEM-0007,3D Glass Solutions Inc.,1943,4.2,Odisha,Advanced_Packaging,-0.3715275081708785,0.0,-1.0419437185822005,-1.224744871391589,0.33333333333333326,0.0,-0.49999999999999994,-1.0,-0.3333333333333333,-0.49999999999999994,2.9999999999999996,-0.29488391230979416,-0.854114951600615,-0.8541149516006149,-0.4999999999999999,-0.9045340337332908,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.021228940410375194
SEM-0008,SiCSem Private Limited,2066,5000.0,Odisha,Fabrication,-0.036107926676148504,0.0,1.4153399543149068,0.816496580927726,0.33333333333333326,0.0,1.9999999999999998,-1.0,-0.3333333333333333,1.9999999999999998,-0.3333333333333333,-0.29488391230979416,-0.854114951600615,-0.8541149516006149,-0.4999999999999999,-0.9045340337332908,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.022572820837794726
SEM-0009,Continental Device India Private Limited,117,158.38,Punjab,Manufacturing,-0.3611758145332513,0.0,0.18250007138785368,-1.224744871391589,-3.0,0.0,-0.49999999999999994,-1.0,-0.3333333333333333,1.9999999999999998,-0.3333333333333333,-1.0320936930842797,-0.9207214156883439,-0.9207214156883438,-0.4999999999999999,-0.9045340337332908,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0012783252846185783
SEM-0010,Advanced System in Package Technologies Private Limited,480,96.0,Andhra Pradesh,Packaging_Testing,-0.3653640273307295,0.0,0.004848907466535878,0.816496580927726,0.33333333333333326,0.0,-0.49999999999999994,1.0,-0.3333333333333333,-0.49999999999999994,-0.3333333333333333,-1.0320936930842797,-0.9145091478404904,-0.9145091478404904,-0.4999999999999999,-0.9045340337332908,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.005244411424076219
