project_id,company,actual_exposure,predicted_exposure,absolute_error
SEM-0002,Tata Electronics Private Limited,1.0,0.42752672750808085,0.5724732724919191
SEM-0005,Kaynes Technology India Limited,0.0361318095404584,0.155664309491032,0.11953249995057359
SEM-0004,CG Power and Industrial Solutions Limited,0.0828617005004042,0.15583149040137437,0.07296978990097017
SEM-0008,SiCSem Private Limited,0.0225728208377947,0.09113267968092323,0.06855985884312853
SEM-0009,Continental Device India Private Limited,0.0012783252846185,0.06814411957362092,0.06686579428900241
SEM-0001,Micron Technology Inc.,0.2460065992177086,0.18709937327202367,0.05890722594568493
SEM-0003,Tata Electronics Private Limited,0.2963092454603063,0.3446997716495843,0.04839052618927803
SEM-0007,3D Glass Solutions Inc.,0.0212289404103751,0.06375837547592499,0.04252943506554989
SEM-0010,Advanced System in Package Technologies Private Limited,0.0052444114240762,0.04034648819539181,0.035102076771315605
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,0.0404912265367218,0.04601772650082256,0.005526499964100762
