project_id,company,project_type,state,approval_date,investment_crore,capacity_value,capacity_unit,technology,technology_partner,source_document,source_page,source,project_type_standardized,capacity_category,investment_per_capacity_unit,data_quality_flag,investment_crore_investment,approval_date_investment,data_quality_flag_investment,investment_match_status
SEM-0001,Micron Technology Inc.,ATMP,Gujarat,2023-06-01,22516,14.0,million units/week,DRAM and NAND assembly and test,,MeitY_Annual_Report_2025_26.pdf,92,Ministry of Electronics & Information Technology (MeitY),ATMP,Other,1608.2857142857142,OK,22516.0,June 2023,HIGH,MATCHED
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,2024-02-01,91526,50000.0,WSPM,Semiconductor fabrication,"PSMC, Taiwan",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),FAB,Wafer Capacity,1.83052,OK,27120.0,February 2024,HIGH,MATCHED
SEM-0003,Tata Electronics Private Limited,OSAT,Assam,2024-02-01,27120,48.0,million units/day,Semiconductor packaging,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OSAT,Unit Capacity,565.0,OK,,,,MATCHED
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,2024-02-01,7584,15.07,million units/day,Semiconductor assembly and testing,Renesas Electronics / STARS Microelectronic,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OSAT,Unit Capacity,503.251493032515,OK,,,,MATCHED
SEM-0005,Kaynes Technology India Limited,OSAT,Gujarat,2024-09-01,3307,6.33,million chips/day,Wire bond interconnect / substrate based packages,ISO Technology / AOI Electronics,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OSAT,Chip Capacity,522.432859399684,OK,,,,MATCHED
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,2025-05-01,3706,36.0,million chips/month,"Display Driver ICs (DDIC), Gold Bump, chip probing and die processing",Hon Hai / Foxconn,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OSAT,Monthly Chip Capacity,102.94444444444444,OK,,,,MATCHED
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Odisha,2025-08-01,1943,4.2,million units/month,Advanced packaging / glass substrate / 3D heterogeneous integration,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),Advanced Packaging,Monthly Unit Capacity,462.6190476190476,OK,,,,MATCHED
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,2025-08-01,2066,5000.0,wafers/month,Silicon Carbide (SiC),Clas-SiC Wafer Fab / Continental Device India,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),FAB,Wafer Capacity,0.4132,OK,,,,MATCHED
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Punjab,2025-08-01,117,158.38,million units/year,Silicon and Silicon Carbide discrete semiconductor devices,,MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),Semiconductor Manufacturing,Annual Unit Capacity,0.7387296375805026,OK,,,,MATCHED
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Andhra Pradesh,2025-08-01,480,96.0,million units/year,Semiconductor packaging and testing,"APACT Co. Ltd., South Korea",MeitY_Annual_Report_2025_26.pdf,93,Ministry of Electronics & Information Technology (MeitY),OSAT,Annual Unit Capacity,5.0,OK,,,,MATCHED
