sector_id,sr_no,sector,year,credit_crore
2.1  ,2.1  ,Mining and Quarrying (incl. Coal),2019,41681.48
2.2  ,2.2  ,Food Processing,2019,147312.94
2.2.1  ,2.2.1  ,Sugar,2019,29471.99
2.2.2  ,2.2.2  ,Edible Oils and Vanaspati,2019,19173.0
2.2.3  ,2.2.3  ,Tea,2019,3603.0
2.2.4  ,2.2.4  ,Others,2019,95064.95
2.3  ,2.3  ,Beverage and Tobacco,2019,14638.31
2.4  ,2.4  ,Textiles,2019,200939.28
2.4.1  ,2.4.1  ,Cotton Textiles,2019,91359.57
2.4.2  ,2.4.2  ,Jute Textiles,2019,1910.91
2.4.3  ,2.4.3  ,Man-Made Textiles,2019,29103.49
2.4.4  ,2.4.4  ,Other Textiles,2019,78565.31
2.5  ,2.5  ,Leather and Leather Products,2019,10489.53
2.6  ,2.6  ,Wood and Wood Products,2019,13077.12
2.7  ,2.7  ,Paper and Paper Products,2019,32393.27
2.8  ,2.8  ,"Petroleum, Coal Products and Nuclear Fuels",2019,75395.37
2.9  ,2.9  ,Chemicals and Chemical Products,2019,171924.62
2.9.1  ,2.9.1  ,Fertiliser,2019,37630.14
2.9.2  ,2.9.2  ,Drugs and Pharmaceuticals,2019,50732.58
2.9.3  ,2.9.3  ,Petro Chemicals,2019,22966.75
2.9.4  ,2.9.4  ,Others,2019,60595.15
2.10  ,2.10  ,"Rubber, Plastic and their Products",2019,46018.84
2.11  ,2.11  ,Glass and Glassware,2019,7965.62
2.12  ,2.12  ,Cement and Cement Products,2019,56986.43
2.13  ,2.13  ,Basic Metal and Metal Product,2019,371754.79
2.13.1  ,2.13.1  ,Iron and Steel,2019,287648.22
2.13.2  ,2.13.2  ,Other Metal and Metal Product,2019,84106.57
2.14  ,2.14  ,All Engineering,2019,172838.22
2.14.1  ,2.14.1  ,Electronics,2019,39888.57
2.14.2  ,2.14.2  ,Others,2019,132949.65
2.15  ,2.15  ,"Vehicles, Vehicle Parts and Transport Equipment",2019,83808.29
2.16  ,2.16  ,Gems and Jewellery,2019,72699.68
2.17  ,2.17  ,Construction,2019,111937.32
2.18  ,2.18  ,Infrastructure,2019,1044199.16
