project_id,company,state,approval_year,investment_crore,financial_entity_name,entity_relationship,preferred_financial_year,primary_source_type,primary_source_authority,primary_source_url,secondary_source_url,financial_currency,financial_unit,public_financials_available,entity_match_quality,financial_data_status,notes
SEM-0001,Micron Technology Inc.,Gujarat,2023,22516,"Micron Technology, Inc.",Global parent of India semiconductor investment,FY2025,Audited Form 10-K,"Micron Technology, Inc.",https://investors.micron.com/financials/annual-reports/default.aspx,https://investors.micron.com/overview/default.aspx,USD,million,YES,MEDIUM_PARENT,SOURCE_VERIFIED,Global parent financials are borrower-strength context only; do not present them as project-level India financial statements.
SEM-0002,Tata Electronics Private Limited,Gujarat,2024,91526,Tata Electronics / relevant Tata semiconductor entity,Private operating company / Tata-group semiconductor structure,FY2025,Group annual-report disclosure / entity financial statement,Tata Group / Tata Sons,https://www.tata.com/content/dam/tata/pdf/fy25/Tata-Sons-Annual-Report-FY25.pdf,,INR,crore,PARTIAL,REQUIRES_ENTITY_RECONCILIATION,SOURCE_REVIEW_REQUIRED,Do not substitute Tata Sons consolidated metrics for Tata Electronics borrower-level fundamentals.
SEM-0003,Tata Electronics Private Limited,Assam,2024,27120,Tata Electronics / relevant Tata semiconductor entity,Private operating company / Tata-group semiconductor structure,FY2025,Group annual-report disclosure / entity financial statement,Tata Group / Tata Sons,https://www.tata.com/content/dam/tata/pdf/fy25/Tata-Sons-Annual-Report-FY25.pdf,,INR,crore,PARTIAL,REQUIRES_ENTITY_RECONCILIATION,SOURCE_REVIEW_REQUIRED,Do not substitute Tata Sons consolidated metrics for Tata Electronics borrower-level fundamentals.
SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,2024,7584,CG Power and Industrial Solutions Limited,Exact listed company,FY2025,Audited Annual Report,CG Power and Industrial Solutions Limited,https://www.cgglobal.com/admin/uploads/Annual_Report-FY_2024-25.pdf,https://www.cgglobal.com/investors/investor-relations-home,INR,crore,YES,HIGH,SOURCE_VERIFIED,
SEM-0005,Kaynes Technology India Limited,Gujarat,2024,3307,Kaynes Technology India Limited,Listed parent/company; Kaynes Semicon subsidiary also publicly reported,FY2025,Audited Annual Report,Kaynes Technology India Limited,https://www.kaynestechnology.co.in/doc/Regulation-46-of-sebi-lodr-regulation/Annual%20Report%20FY2024-25.pdf,https://www.kaynestechnology.co.in/investors.html,INR,crore,YES,HIGH_PARENT / SUBSIDIARY_AVAILABLE,SOURCE_VERIFIED,Use listed-company consolidated financials for borrower-level analysis; retain Kaynes Semicon subsidiary statements separately if project-SPV analysis is required.
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,2025,3706,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,
SEM-0007,3D Glass Solutions Inc.,Odisha,2025,1943,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,
SEM-0008,SiCSem Private Limited,Odisha,2025,2066,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,
SEM-0009,Continental Device India Private Limited,Punjab,2025,117,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,
SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,2025,480,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,
SEM-0011,Crystal Matrix Limited,Gujarat,2026,3068,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,
SEM-0012,Suchi Semicon Private Limited,Gujarat,2026,868,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,
