project_id,company,verification_status,financial_year,audited,source_authority,ratio_coverage,core_financial_values_available
SEM-0001,Micron Technology Inc.,NOT_VERIFIED,,,,0.0,0
SEM-0002,Tata Electronics Private Limited,NOT_VERIFIED,,,,0.0,0
SEM-0003,Tata Electronics Private Limited,NOT_VERIFIED,,,,0.0,0
SEM-0004,CG Power and Industrial Solutions Limited,NOT_VERIFIED,,,,0.0,0
SEM-0005,Kaynes Technology India Limited,NOT_VERIFIED,,,,0.0,0
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,NOT_VERIFIED,,,,0.0,0
SEM-0007,3D Glass Solutions Inc.,NOT_VERIFIED,,,,0.0,0
SEM-0008,SiCSem Private Limited,NOT_VERIFIED,,,,0.0,0
SEM-0009,Continental Device India Private Limited,NOT_VERIFIED,,,,0.0,0
SEM-0010,Advanced System in Package Technologies Private Limited,NOT_VERIFIED,,,,0.0,0
SEM-0011,Crystal Matrix Limited,NOT_VERIFIED,,,,0.0,0
SEM-0012,Suchi Semicon Private Limited,NOT_VERIFIED,,,,0.0,0
