project_id,company,state,approval_year,investment_crore,financial_entity_name,entity_relationship,preferred_financial_year,primary_source_type,primary_source_authority,primary_source_url,secondary_source_url,financial_currency,financial_unit,public_financials_available,entity_match_quality,financial_data_status,notes,financial_year,revenue,ebitda,ebit,pat,total_debt,total_equity,current_assets,current_liabilities,interest_expense,operating_cash_flow,numbers_currency,numbers_unit,audited,page_reference,value_source_url,verification_status,review_notes,source_quality_score,collection_priority,revenue_crore,ebitda_crore,ebit_crore,pat_crore,total_debt_crore,total_equity_crore,current_assets_crore,current_liabilities_crore,interest_expense_crore,operating_cash_flow_crore,financial_evidence_verified,is_exact_company_financials,is_parent_financials,total_assets_reported_crore,total_liabilities_reported_crore,reported_overall_gearing,reported_interest_coverage,financial_evidence_type,fundamental_data_coverage,fundamental_fields_available,fundamental_score_eligible
SEM-0001,Micron Technology Inc.,Gujarat,2023,22516,"Micron Technology, Inc.",Global parent of India semiconductor investment,FY2025,Audited Form 10-K,"Micron Technology, Inc.",https://investors.micron.com/financials/annual-reports/default.aspx,https://investors.micron.com/overview/default.aspx,USD,million,YES,MEDIUM_PARENT,SOURCE_VERIFIED,Global parent financials are borrower-strength context only; do not present them as project-level India financial statements.,FY2025,37378.0,,9770.0,8539.0,14577.0,54165.0,28841.0,11454.0,,17525.0,USD,million,YES,,https://investors.micron.com/static-files/7a1f8c6f-1ce9-4efe-bc6e-722b6b9c4550,VERIFIED_PARENT,Micron Technology Inc. FY2025 audited GLOBAL PARENT financials. These provide sponsor/parent financial-strength context only and must not be interpreted as Gujarat ATMP project financial statements.,2,PRIORITY_2,,,,,,,,,,,1,0,1,,,,,PARENT_LEVEL,0.0,0,NO
SEM-0002,Tata Electronics Private Limited,Gujarat,2024,91526,Tata Electronics / relevant Tata semiconductor entity,Private operating company / Tata-group semiconductor structure,FY2025,Group annual-report disclosure / entity financial statement,Tata Group / Tata Sons,https://www.tata.com/content/dam/tata/pdf/fy25/Tata-Sons-Annual-Report-FY25.pdf,,INR,crore,PARTIAL,REQUIRES_ENTITY_RECONCILIATION,SOURCE_REVIEW_REQUIRED,Do not substitute Tata Sons consolidated metrics for Tata Electronics borrower-level fundamentals.,,,,,,,,,,,,,,,,,NOT_VERIFIED,,1,PRIORITY_2,,,,,,,,,,,0,0,0,,,,,,0.0,0,NO
SEM-0003,Tata Electronics Private Limited,Assam,2024,27120,Tata Electronics / relevant Tata semiconductor entity,Private operating company / Tata-group semiconductor structure,FY2025,Group annual-report disclosure / entity financial statement,Tata Group / Tata Sons,https://www.tata.com/content/dam/tata/pdf/fy25/Tata-Sons-Annual-Report-FY25.pdf,,INR,crore,PARTIAL,REQUIRES_ENTITY_RECONCILIATION,SOURCE_REVIEW_REQUIRED,Do not substitute Tata Sons consolidated metrics for Tata Electronics borrower-level fundamentals.,,,,,,,,,,,,,,,,,NOT_VERIFIED,,1,PRIORITY_2,,,,,,,,,,,0,0,0,,,,,,0.0,0,NO
SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,2024,7584,CG Power and Industrial Solutions Limited,Exact listed company,FY2025,Audited Annual Report,CG Power and Industrial Solutions Limited,https://www.cgglobal.com/admin/uploads/Annual_Report-FY_2024-25.pdf,https://www.cgglobal.com/investors/investor-relations-home,INR,crore,YES,HIGH,SOURCE_VERIFIED,,FY2024-25,9329.0,1435.0,,974.0,,,,,5.4,,INR,crore,YES,,https://www.cgglobal.com/admin/uploads/Audited_Standalone_Financial_Statements_for_the_Year_ended_31st_March%2C_2025.pdf,VERIFIED_PARTIAL,"FY2024-25 standalone CG Power. Revenue, EBITDA and PAT verified from official FY25 reporting. Interest expense sourced from audited standalone cash-flow/financial statements. Remaining balance-sheet fields pending.",3,PRIORITY_1,9329.0,1435.0,,974.0,,,,,5.4,,1,1,0,,,,,COMPANY_LEVEL,0.4444444444444444,4,YES
SEM-0005,Kaynes Technology India Limited,Gujarat,2024,3307,Kaynes Technology India Limited,Listed parent/company; Kaynes Semicon subsidiary also publicly reported,FY2025,Audited Annual Report,Kaynes Technology India Limited,https://www.kaynestechnology.co.in/doc/Regulation-46-of-sebi-lodr-regulation/Annual%20Report%20FY2024-25.pdf,https://www.kaynestechnology.co.in/investors.html,INR,crore,YES,HIGH_PARENT / SUBSIDIARY_AVAILABLE,SOURCE_VERIFIED,Use listed-company consolidated financials for borrower-level analysis; retain Kaynes Semicon subsidiary statements separately if project-SPV analysis is required.,FY2024-25,2721.752,410.7,,293.433,,,,,,,INR,crore,YES,,https://www.kaynestechnology.co.in/doc/Regulation-46-of-sebi-lodr-regulation/Annual%20Report%20FY2024-25.pdf,VERIFIED_PARTIAL,"FY2024-25 consolidated Kaynes Technology India Limited. Revenue, EBITDA and PAT verified from official annual report. Balance-sheet and debt-service fields still pending.",3,PRIORITY_1,2721.752,410.7,,293.433,,,,,,,1,1,0,,,,,COMPANY_LEVEL,0.3333333333333333,3,YES
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,2025,3706,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,,,,,,,,,,,,,,,,,,NOT_VERIFIED,,0,PRIORITY_3,,,,,,,,,,,0,0,0,,,,,,0.0,0,NO
SEM-0007,3D Glass Solutions Inc.,Odisha,2025,1943,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,,,,,,,,,,,,,,,,,,NOT_VERIFIED,,0,PRIORITY_3,,,,,,,,,,,0,0,0,,,,,,0.0,0,NO
SEM-0008,SiCSem Private Limited,Odisha,2025,2066,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,,FY2024-25,0.0,,,-0.0128,,0.0144,,,,,INR,crore,YES,,https://nsearchives.nseindia.com/annual_reports/AR_29066_ACI_2024_2025_A_7282215_16092025105856.pdf,VERIFIED_EXACT_SUBSIDIARY_PARTIAL,"Exact SiCSem subsidiary figures from FY2024-25 AOC-1 disclosure. SiCSem had not commenced commercial operations as of March 31, 2025. Total liabilities are not treated as financial debt.",0,PRIORITY_3,0.0,,,-0.0128,,0.0144,,,,,1,0,0,61.3438,61.32939999999999,,,COMPANY_OR_ENTITY_LEVEL,0.3333333333333333,3,YES
SEM-0009,Continental Device India Private Limited,Punjab,2025,117,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,,FY2023-24,264.65,9.35,,1.44,68.47,,,,,,INR,crore,YES,,https://www.careratings.com/upload/CompanyFiles/PR/202502120241_Continental_Device_India_Private_Limited.pdf,VERIFIED_CRA_FINANCIALS,"FY2024 operating income/PBILDT/PAT are audited. Total debt ₹68.47 crore is reported as of December 31, 2024. CareEdge standalone analytical approach.",0,PRIORITY_3,264.65,9.35,,1.44,68.47,,,,,,1,0,0,,,0.53,1.61,COMPANY_OR_ENTITY_LEVEL,0.4444444444444444,4,YES
SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,2025,480,,,FY2025,,,,,INR,crore,UNKNOWN,UNASSESSED,NOT_COLLECTED,,,,,,,,,,,,,,,,,,NOT_VERIFIED,,0,PRIORITY_3,,,,,,,,,,,0,0,0,,,,,,0.0,0,NO
