component,explained_variance,cumulative_variance
1,0.2375283609494688,0.2375283609494688
2,0.14970337510668946,0.38723173605615824
3,0.11723320750370783,0.504464943559866
4,0.09967136218636784,0.6041363057462339
5,0.09364845532589418,0.6977847610721281
6,0.08013705857825229,0.7779218196503803
7,0.07270396825600402,0.8506257879063843
8,0.04939258060432347,0.9000183685107078
9,0.041223807853015056,0.9412421763637229
10,0.03620099321468382,0.9774431695784067
11,0.01324009852316475,0.9906832681015715
12,0.009316731898428533,1.0
