project_id,company,project_type,state,investment_crore,baseline_score,severe_score,absolute_severe_increase,relative_severe_increase_pct,baseline_rank,severe_rank,mean_rank,best_rank,worst_rank,rank_range,robust_vulnerability_rank,ranking_stability,source_project_id,ecosystem_id,validated_cluster,project_scope,top_vulnerability_group,high_stress_sensitivity,ranking_robust_flag,research_interpretation
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,91526,80.55033970966363,90.27516985483182,9.724830145168184,12.07298464565196,1,1,1.0,1,1,0,1,Highly Stable,SEM-0002,MFG-0002,3,Manufacturing,TOP_TIER,NO,YES,Consistently High Relative Vulnerability
SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,Gujarat,3068,66.16347841686823,70.98528262319634,4.82180420632811,7.287712680321841,2,2,2.0,2,2,0,2,Highly Stable,SEM-0011,MFG-0011,3,Manufacturing,TOP_TIER,NO,YES,Consistently High Relative Vulnerability
SEM-0012,Suchi Semicon Private Limited,OSAT,Gujarat,868,65.56178711732443,70.38359132365252,4.821804206328096,7.354595440937812,3,3,3.0,3,3,0,3,Highly Stable,SEM-0012,MFG-0012,1,Manufacturing,TOP_TIER,NO,YES,Consistently High Relative Vulnerability
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,7584,57.59253467952436,67.31736482469255,9.724830145168184,16.8855741447782,4,4,4.0,4,4,0,4,Highly Stable,SEM-0004,MFG-0004,1,Manufacturing,TOP_TIER,YES,YES,Consistently High Relative Vulnerability
SEM-0005,Kaynes Technology India Limited,OSAT,Gujarat,3307,56.42279209400215,66.14762223917035,9.724830145168198,17.235641456676454,5,5,5.0,5,5,0,5,Highly Stable,SEM-0005,MFG-0005,1,Manufacturing,OTHER,YES,YES,Higher Macro-Stress Sensitivity
SEM-0003,Tata Electronics Private Limited,OSAT,Assam,27120,51.0814851331555,60.80631527832369,9.724830145168184,19.037876678444658,6,6,6.2,6,7,1,6,Highly Stable,SEM-0003,MFG-0003,1,Manufacturing,OTHER,YES,YES,Higher Macro-Stress Sensitivity
SEM-0001,Micron Technology Inc.,ATMP,Gujarat,22516,31.886129272558208,56.50608359502496,24.619954322466754,77.21211349304521,12,7,7.8,6,12,6,7,Weight Sensitive,SEM-0001,MFG-0001,4,Manufacturing,OTHER,YES,NO,Higher Macro-Stress Sensitivity
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,3706,46.39970673350785,53.89970673350785,7.5,16.163895265708277,7,8,7.8,7,8,1,7,Highly Stable,SEM-0006,MFG-0006,1,Manufacturing,OTHER,NO,YES,Lower-to-Moderate Relative Vulnerability
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,2066,45.98647364182017,53.48647364182016,7.499999999999993,16.309143550375392,8,9,8.8,8,9,1,9,Highly Stable,SEM-0008,MFG-0008,3,Manufacturing,OTHER,NO,YES,Lower-to-Moderate Relative Vulnerability
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Odisha,1943,45.952833628254766,53.45283362825476,7.499999999999993,16.321082744696096,9,10,9.8,9,10,1,10,Highly Stable,SEM-0007,MFG-0007,4,Manufacturing,OTHER,NO,YES,Lower-to-Moderate Relative Vulnerability
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Andhra Pradesh,480,45.14156966961921,52.641569669619216,7.500000000000007,16.614397892875207,10,11,10.8,10,11,1,11,Highly Stable,SEM-0010,MFG-0010,1,Manufacturing,OTHER,YES,YES,Higher Macro-Stress Sensitivity
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Punjab,117,44.99999999999999,52.5,7.500000000000007,16.666666666666686,11,12,11.8,11,12,1,12,Highly Stable,SEM-0009,MFG-0009,4,Manufacturing,OTHER,YES,YES,Higher Macro-Stress Sensitivity
