project_id,company,project_type,state,investment_crore,mean_simulated_score,median_simulated_score,p75_score,p90_score,p95_score,p99_score,maximum_score,score_std,mean_rank,median_rank,best_rank,worst_rank,probability_top_1,probability_top_3,probability_top_5,tail_risk_rank,top3_frequency_rank,rank_range,monte_carlo_rank_stability
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,91526,86.61128137865347,86.47597088061393,87.95076200018903,89.32827472145651,90.1538475648191,91.79233375799049,95.54022883673163,2.022020430979373,1.0,1.0,1,1,1.0,1.0,1.0,1,1,0,Highly Stable
SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,Gujarat,3068,68.98423739258814,68.91467736717942,69.59921003493544,70.24843341649013,70.61129335209091,71.32934684431017,73.02273508032533,0.9234342374859681,2.0025,2.0,2,4,0.0,0.9997,1.0,2,2,2,Highly Stable
SEM-0012,Suchi Semicon Private Limited,OSAT,Gujarat,868,68.38254609304434,68.3129860676356,68.99751873539162,69.64674211694631,70.0096020525471,70.72765554476635,72.42104378078153,0.9234342374859682,3.0081,3.0,3,5,0.0,0.9928,1.0,3,3,2,Highly Stable
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,7584,63.653476348514204,63.51816585047466,64.99295697004978,66.37046969131724,67.19604253467983,68.83452872785124,72.58242380659237,2.022020430979373,3.9906,4.0,2,4,0.0,0.0072,1.0,4,4,2,Highly Stable
SEM-0005,Kaynes Technology India Limited,OSAT,Gujarat,3307,62.48373376299199,62.348423264952444,63.82321438452756,65.20072710579502,66.02629994915762,67.66478614232902,71.41268122107014,2.022020430979373,4.9988,5.0,3,5,0.0,0.0003,1.0,5,5,2,Highly Stable
SEM-0003,Tata Electronics Private Limited,OSAT,Assam,27120,57.14242680214534,57.0071163041058,58.48190742368091,59.859420144948366,60.68499298831098,62.323479181482355,66.07137426022351,2.022020430979373,6.0047,6.0,6,11,0.0,0.0,0.0,6,6,5,Moderately Stable
SEM-0001,Micron Technology Inc.,ATMP,Gujarat,22516,46.76081308574762,46.51605549115189,49.39369102616604,52.1809345833792,53.841567511204964,56.69388136615184,61.348256750020994,4.01608387551715,11.0518,12.0,6,12,0.0,0.0,0.0,7,6,6,Stress Sensitive
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,3706,50.67514489245172,50.49395571509247,51.877384033222626,53.12076485926052,53.832908016458845,55.129683127941874,57.868845592648995,1.7796022223077748,7.1428,7.0,6,8,0.0,0.0,0.0,8,6,2,Highly Stable
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,2066,50.26191180076403,50.080722623404796,51.46415094153494,52.70753176757284,53.419674924771165,54.71645003625421,57.455612500961315,1.7796022223077745,8.1687,8.0,7,9,0.0,0.0,0.0,9,6,2,Highly Stable
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Odisha,1943,50.228271787198636,50.04708260983939,51.430510927969536,52.67389175400744,53.386034911205755,54.6828100226888,57.42197248739591,1.7796022223077745,9.1708,9.0,8,10,0.0,0.0,0.0,10,6,2,Highly Stable
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Andhra Pradesh,480,49.41700782856309,49.23581865120384,50.61924696933399,51.862627795371885,52.57477095257021,53.87154606405324,56.610708528760355,1.7796022223077748,10.2251,10.0,9,11,0.0,0.0,0.0,11,6,2,Highly Stable
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Punjab,117,49.27543815894387,49.09424898158463,50.47767729971478,51.72105812575268,52.433201282950996,53.72997639443403,56.46913885914115,1.7796022223077748,11.2361,11.0,10,12,0.0,0.0,0.0,12,6,2,Highly Stable
