project_id,company,enhanced_vulnerability_rank,robust_vulnerability_rank,tail_risk_rank,severe_score,p95_score,probability_top_3,borrower_archetype,borrower_fundamental_risk_score,borrower_fundamental_risk_rank,fundamental_risk_component_coverage,gearing_final,debt_to_ebitda_calc,interest_coverage_final,current_ratio_calc,ebitda_margin_calc,net_profit_margin_calc,ocf_to_debt_calc,macro_fundamental_interpretation
SEM-0002,Tata Electronics Private Limited,1,1,1,90.27516985483182,90.1538475648191,1.0,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0011,Crystal Matrix Limited,2,2,2,70.98528262319634,70.61129335209091,0.9997,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0012,Suchi Semicon Private Limited,3,3,3,70.38359132365252,70.0096020525471,0.9928,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0004,CG Power and Industrial Solutions Limited,4,4,4,67.31736482469255,67.19604253467983,0.0072,OPERATING_COMPANY,1.6629613060733628,2.0,0.2857142857142857,,,,,0.15382141708650446,0.10440561689355772,,HIGH_MACRO_AND_HIGHER_BORROWER_FUNDAMENTAL_RISK
SEM-0005,Kaynes Technology India Limited,5,5,5,66.14762223917035,66.02629994915762,0.0003,OPERATING_COMPANY,1.2346702567915924,3.0,0.2857142857142857,,,,,0.15089545263492044,0.10781033687125058,,LOWER_MACRO_AND_LOWER_BORROWER_FUNDAMENTAL_RISK
SEM-0003,Tata Electronics Private Limited,6,6,6,60.80631527832369,60.68499298831098,0.0,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,7,7,8,53.89970673350785,53.832908016458845,0.0,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0001,Micron Technology Inc.,8,7,7,56.50608359502496,53.84156751120496,0.0,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0008,SiCSem Private Limited,9,9,9,53.48647364182016,53.419674924771165,0.0,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0007,3D Glass Solutions Inc.,10,10,10,53.45283362825476,53.386034911205755,0.0,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0010,Advanced System in Package Technologies Private Limited,11,11,11,52.641569669619216,52.57477095257021,0.0,,,,,,,,,,,,NO_COMPARABLE_FUNDAMENTAL_SCORE
SEM-0009,Continental Device India Private Limited,12,12,12,52.5,52.43320128295099,0.0,OPERATING_COMPANY,100.0,1.0,0.2857142857142857,0.53,7.322994652406417,1.61,,0.035329680710372194,0.005441148686945022,,LOWER_MACRO_VULNERABILITY_BUT_WEAKER_BORROWER_FUNDAMENTALS
