project_id,company,project_type,state,indicative_model_risk_grade,integrated_banking_risk_score,integrated_banking_risk_class,integrated_evidence_quality_score,integrated_evidence_quality_class,final_ews_status,monitoring_maturity,critical_review_flags,committee_monitoring_tier,credit_committee_posture,integrated_credit_committee_explanation
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,E,64.49984356309704,ELEVATED,30.333333333333332,LOW,AMBER,SNAPSHOT_ONLY,NONE,TIER_2_ENHANCED_MONITORING,PROCEED_WITH_ENHANCED_DUE_DILIGENCE,Integrated research banking-risk class: ELEVATED. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,Gujarat,D,66.95531613832718,HIGH,18.333333333333332,LOW,RED,SNAPSHOT_ONLY,RED_EWS,TIER_1_IMMEDIATE_REVIEW,ESCALATE_FOR_CREDIT_COMMITTEE_REVIEW,Integrated research banking-risk class: HIGH. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Critical review flags: RED_EWS. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0012,Suchi Semicon Private Limited,OSAT,Gujarat,D,64.73039460628937,ELEVATED,18.333333333333332,LOW,RED,SNAPSHOT_ONLY,RED_EWS,TIER_1_IMMEDIATE_REVIEW,ESCALATE_FOR_CREDIT_COMMITTEE_REVIEW,Integrated research banking-risk class: ELEVATED. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Critical review flags: RED_EWS. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,B,22.703785885942857,MODERATE_LOW,41.666666666666664,LIMITED,GREEN,SNAPSHOT_ONLY,NONE,TIER_3_STANDARD_REVIEW,PROCEED_WITH_DATA_CONDITIONS,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LIMITED. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0005,Kaynes Technology India Limited,OSAT,Gujarat,B,23.187712867898423,MODERATE_LOW,38.888888888888886,LOW,GREEN,SNAPSHOT_ONLY,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0003,Tata Electronics Private Limited,OSAT,Assam,B,31.762460136460376,MODERATE_LOW,25.277777777777775,LOW,AMBER,SNAPSHOT_ONLY,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,A,28.08682165367365,MODERATE_LOW,18.333333333333332,LOW,AMBER,SNAPSHOT_ONLY,ENTITY_RECONCILIATION,TIER_1_IMMEDIATE_REVIEW,ESCALATE_FOR_CREDIT_COMMITTEE_REVIEW,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Critical review flags: ENTITY_RECONCILIATION. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0001,Micron Technology Inc.,ATMP,Gujarat,A,17.51893012596768,LOW,25.277777777777775,LOW,GREEN,SNAPSHOT_ONLY,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,A,25.397622815066345,MODERATE_LOW,25.277777777777775,LOW,AMBER,SNAPSHOT_ONLY,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Odisha,A,31.432939530184772,MODERATE_LOW,25.277777777777775,LOW,AMBER,SNAPSHOT_ONLY,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Andhra Pradesh,A,30.05509344819231,MODERATE_LOW,25.277777777777775,LOW,AMBER,SNAPSHOT_ONLY,PROJECT_VALUE_CONFLICT,TIER_1_IMMEDIATE_REVIEW,ESCALATE_FOR_CREDIT_COMMITTEE_REVIEW,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Critical review flags: PROJECT_VALUE_CONFLICT. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Punjab,B,41.13977724508037,MODERATE,38.333333333333336,LOW,AMBER,SNAPSHOT_ONLY,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
