project_id,company,project_type,state,approval_year,investment_crore,validated_cluster,project_stress_vulnerability_score,project_stress_vulnerability_class,p95_score,p99_score,borrower_financial_risk_score,borrower_financial_risk_class,borrower_financial_strength_score,borrower_financial_strength_class,execution_risk_score,execution_risk_class,execution_monitoring_signal,integrated_ews_risk_score,final_ews_status,monitoring_maturity,security_risk_component,security_analysis_status,project_security_coverage_ratio,project_recovery_coverage_ratio,portfolio_concentration_signal_score,portfolio_concentration_class,integrated_banking_risk_score,integrated_banking_risk_class,integrated_evidence_quality_score,integrated_evidence_quality_class,integrated_risk_component_coverage_pct,critical_review_flags,committee_monitoring_tier,credit_committee_posture,integrated_credit_committee_explanation
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,2024,91526,3,100.0,HIGH,,91.79233375799048,,,,,0.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,57.99937425238826,AMBER,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,100.0,HIGH,64.49984356309704,ELEVATED,30.333333333333332,LOW,57.14285714285714,NONE,TIER_2_ENHANCED_MONITORING,PROCEED_WITH_ENHANCED_DUE_DILIGENCE,Integrated research banking-risk class: ELEVATED. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,Gujarat,2026,3068,3,71.09527372373961,ELEVATED,,71.32934684431017,,NOT_OBSERVABLE,,NOT_OBSERVABLE,,NOT_OBSERVABLE,DATA_REQUIRED,70.81906516937171,RED,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,34.6642811181314,MODERATE,66.95531613832718,HIGH,18.333333333333332,LOW,42.857142857142854,RED_EWS,TIER_1_IMMEDIATE_REVIEW,ESCALATE_FOR_CREDIT_COMMITTEE_REVIEW,Integrated research banking-risk class: HIGH. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Critical review flags: RED_EWS. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0012,Suchi Semicon Private Limited,OSAT,Gujarat,2026,868,1,67.01296884230614,ELEVATED,,70.72765554476635,,NOT_OBSERVABLE,,NOT_OBSERVABLE,,NOT_OBSERVABLE,DATA_REQUIRED,70.2173738698279,RED,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,36.856585635589894,MODERATE,64.73039460628937,ELEVATED,18.333333333333332,LOW,42.857142857142854,RED_EWS,TIER_1_IMMEDIATE_REVIEW,ESCALATE_FOR_CREDIT_COMMITTEE_REVIEW,Integrated research banking-risk class: ELEVATED. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Critical review flags: RED_EWS. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,2024,7584,1,45.15315566404277,MODERATE,,68.83452872785124,3.333333333333343,LOW,96.66666666666666,STRONG,0.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,31.26854971310911,GREEN,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,30.35581338221122,MODERATE,22.703785885942857,MODERATE_LOW,41.666666666666664,LIMITED,71.42857142857143,NONE,TIER_3_STANDARD_REVIEW,PROCEED_WITH_DATA_CONDITIONS,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LIMITED. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0005,Kaynes Technology India Limited,OSAT,Gujarat,2024,3307,1,40.31842288483617,MODERATE,,67.66478614232902,10.0,INSUFFICIENT_EVIDENCE,90.0,INSUFFICIENT_EVIDENCE,0.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,32.74216554962411,GREEN,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,31.18479481332155,MODERATE,23.187712867898423,MODERATE_LOW,38.888888888888886,LOW,71.42857142857143,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0003,Tata Electronics Private Limited,OSAT,Assam,2024,27120,1,30.05713019435408,MODERATE,,62.323479181482355,,NOT_OBSERVABLE,,NOT_OBSERVABLE,20.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,46.19796773891875,AMBER,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,32.26996744899796,MODERATE,31.762460136460376,MODERATE_LOW,25.277777777777775,LOW,57.14285714285714,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,2025,3706,1,17.763110820652695,LOW,,55.129683127941874,,NOT_OBSERVABLE,,NOT_OBSERVABLE,,NOT_OBSERVABLE,DATA_REQUIRED,53.870018414819405,AMBER,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,2.355785535341159,LOW,28.08682165367365,MODERATE_LOW,18.333333333333332,LOW,42.857142857142854,ENTITY_RECONCILIATION,TIER_1_IMMEDIATE_REVIEW,ESCALATE_FOR_CREDIT_COMMITTEE_REVIEW,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Critical review flags: ENTITY_RECONCILIATION. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0001,Micron Technology Inc.,ATMP,Gujarat,2023,22516,4,16.311959160811913,LOW,,56.69388136615184,,NOT_OBSERVABLE,,NOT_OBSERVABLE,0.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,35.56404914428176,GREEN,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,21.975218274707387,LOW,17.51893012596768,LOW,25.277777777777775,LOW,57.14285714285714,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,2025,2066,3,10.852115241143196,LOW,,54.71645003625421,,NOT_OBSERVABLE,,NOT_OBSERVABLE,35.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,46.86507627915611,AMBER,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,4.915668737611872,LOW,25.397622815066345,MODERATE_LOW,25.277777777777775,LOW,57.14285714285714,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Odisha,2025,1943,4,7.625738257482885,LOW,,54.6828100226888,,NOT_OBSERVABLE,,NOT_OBSERVABLE,55.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,53.986307699006915,AMBER,SNAPSHOT_ONLY,,SECURITY_DATA_NOT_AVAILABLE,,,12.107659977782175,LOW,31.432939530184772,MODERATE_LOW,25.277777777777775,LOW,57.14285714285714,NONE,TIER_3_DATA_VERIFICATION,ADDITIONAL_INFORMATION_REQUIRED,Integrated research banking-risk class: MODERATE_LOW. Evidence quality: LOW. Monitoring maturity: SNAPSHOT_ONLY. Security analysis: SECURITY_DATA_NOT_AVAILABLE.
