project_id,company,state,mean_allocation_share,median_allocation_share,min_allocation_share,max_allocation_share,allocation_share_std,mean_allocation_rank,median_allocation_rank,best_allocation_rank,worst_allocation_rank,rank_range,allocation_stability,robust_allocation_rank
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,0.1069203645929861,0.1051311260712632,0.1000649277018816,0.1178385472805574,0.0061999652125127,1.7777777777777777,2.0,1,3,2,Highly Stable,1
SEM-0008,SiCSem Private Limited,Odisha,0.1042039266310482,0.1040717937569612,0.0956716592472072,0.11266494265802,0.0063398988278683,3.0,3.0,2,4,2,Highly Stable,2
SEM-0001,Micron Technology Inc.,Gujarat,0.1019104828119177,0.105014346850801,0.0867835386423461,0.1110927666769479,0.0087441909302207,3.111111111111111,2.0,1,7,6,Policy Sensitive,3
SEM-0007,3D Glass Solutions Inc.,Odisha,0.1038957606248634,0.1039356638549416,0.0951915888631392,0.1120996017543666,0.0063727496197155,4.0,4.0,3,5,2,Highly Stable,4
SEM-0003,Tata Electronics Private Limited,Assam,0.1032990657254464,0.101769003106139,0.0947321590232235,0.1230963165934412,0.0083818971043216,4.333333333333333,5.0,1,7,6,Policy Sensitive,5
SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,0.0969868506206716,0.0993319514821789,0.0843496866936599,0.1084513838315306,0.0079541786642107,5.333333333333333,5.0,4,6,2,Highly Stable,6
SEM-0009,Continental Device India Private Limited,Punjab,0.0884558520285935,0.0870970426097147,0.0721527975174608,0.1033806348896516,0.0103630613803059,6.888888888888889,7.0,5,9,4,Moderately Stable,7
SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,0.072648687324054,0.0735382937410906,0.0631104886123599,0.0807885792163352,0.0064902792577908,7.777777777777778,8.0,7,8,1,Highly Stable,8
SEM-0005,Kaynes Technology India Limited,Gujarat,0.0704387183828851,0.0735177682395694,0.0591043836409863,0.0756603107471004,0.0059858086251655,8.777777777777779,9.0,8,9,1,Highly Stable,9
SEM-0011,Crystal Matrix Limited,Gujarat,0.0596820002149288,0.060922662632179,0.0513663403371212,0.0657547381841382,0.0052130230459186,10.0,10.0,10,10,0,Highly Stable,10
SEM-0012,Suchi Semicon Private Limited,Gujarat,0.0538083120208602,0.0557091718282242,0.0435189365671906,0.0578932583907077,0.0048030306262757,11.333333333333334,11.0,11,12,1,Highly Stable,11
SEM-0002,Tata Electronics Private Limited,Gujarat,0.0377499790217446,0.037327303975592,0.0213202936734476,0.0590341070597406,0.013625756579163,11.666666666666666,12.0,11,12,1,Highly Stable,12
