project_id,company,project_type,state,project_status,project_status_class,project_completion_pct,project_completion_signal,dcco_delay_days,dcco_delay_signal,cost_overrun_pct,cost_overrun_signal,technology_partner_signal,fiscal_support_signal,execution_data_coverage_pct,execution_score_coverage_pct,execution_strength_score,execution_strength_class,execution_risk_score,execution_risk_class,execution_monitoring_signal,entity_reconciliation_flag,project_value_conflict_flag,execution_review_priority
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,Gujarat,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,FISCAL_SUPPORT_AGREEMENT_CONFIRMED,0.0,16.666666666666664,100.0,INSUFFICIENT_EVIDENCE,0.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,Gujarat,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.0,0.0,,NOT_OBSERVABLE,,NOT_OBSERVABLE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0012,Suchi Semicon Private Limited,OSAT,Gujarat,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.0,0.0,,NOT_OBSERVABLE,,NOT_OBSERVABLE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,Gujarat,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,FISCAL_SUPPORT_AGREEMENT_CONFIRMED,0.0,16.666666666666664,100.0,INSUFFICIENT_EVIDENCE,0.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0005,Kaynes Technology India Limited,OSAT,Gujarat,PILOT_FACILITY_OPERATIONAL,OPERATIONAL_OR_COMMISSIONED,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.11111111111111,16.666666666666664,100.0,INSUFFICIENT_EVIDENCE,0.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0003,Tata Electronics Private Limited,OSAT,Assam,PHASE_1_EXPECTED_COMMISSIONING_APRIL_2026,COMMISSIONING_TARGET_DISCLOSED,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.11111111111111,16.666666666666664,80.0,INSUFFICIENT_EVIDENCE,20.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,Uttar Pradesh,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.0,0.0,,NOT_OBSERVABLE,,NOT_OBSERVABLE,DATA_REQUIRED,True,False,ENTITY_RECONCILIATION_REQUIRED
SEM-0001,Micron Technology Inc.,ATMP,Gujarat,COMMERCIAL_FACILITY_OPENED,OPERATIONAL_OR_COMMISSIONED,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.11111111111111,16.666666666666664,100.0,INSUFFICIENT_EVIDENCE,0.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,Odisha,CONSTRUCTION_PROGRESSING,UNDER_CONSTRUCTION,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.11111111111111,16.666666666666664,65.0,INSUFFICIENT_EVIDENCE,35.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Odisha,INITIAL_PHASE,EARLY_IMPLEMENTATION_STAGE,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.11111111111111,16.666666666666664,45.0,INSUFFICIENT_EVIDENCE,55.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
SEM-0010,Advanced System in Package Technologies Private Limited,OSAT,Andhra Pradesh,INITIAL_PHASE,EARLY_IMPLEMENTATION_STAGE,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.11111111111111,16.666666666666664,45.0,INSUFFICIENT_EVIDENCE,55.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,True,DATA_VALUE_REVIEW_REQUIRED
SEM-0009,Continental Device India Private Limited,Semiconductor Manufacturing,Punjab,RECENTLY_APPROVED_OR_INITIAL_PHASE,EARLY_IMPLEMENTATION_STAGE,,NOT_AVAILABLE,,NOT_AVAILABLE,,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,11.11111111111111,16.666666666666664,45.0,INSUFFICIENT_EVIDENCE,55.0,INSUFFICIENT_EVIDENCE,DATA_REQUIRED,False,False,EXECUTION_DATA_REQUIRED
