project_id,company,collateral_records,verified_collateral_records,project_exposure_crore,verified_market_value_crore,verified_eligible_collateral_crore,verified_guarantee_amount_crore,verified_recovery_value_crore,total_verified_security_support_crore,project_security_coverage_ratio,project_recovery_coverage_ratio,mean_security_strength_score,security_evidence_available,project_exposure_available,project_security_coverage_signal,project_recovery_support_signal,security_analysis_status
SEM-0001,Micron Technology Inc.,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0002,Tata Electronics Private Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0003,Tata Electronics Private Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0004,CG Power and Industrial Solutions Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0005,Kaynes Technology India Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0007,3D Glass Solutions Inc.,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0008,SiCSem Private Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0009,Continental Device India Private Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0010,Advanced System in Package Technologies Private Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0011,Crystal Matrix Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
SEM-0012,Suchi Semicon Private Limited,1,0,,,,,,,,,,False,False,NOT_AVAILABLE,NOT_AVAILABLE,SECURITY_DATA_NOT_AVAILABLE
