project_id,company,project_stress_vulnerability_score,project_stress_vulnerability_class,severe_score,p90_score,p95_score,p99_score,cross_method_agreement
SEM-0002,Tata Electronics Private Limited,100.0,HIGH,90.27516985483182,89.32827472145651,,91.79233375799048,Very High Agreement
SEM-0011,Crystal Matrix Limited,71.09527372373961,ELEVATED,70.98528262319634,70.24843341649013,,71.32934684431017,Very High Agreement
SEM-0012,Suchi Semicon Private Limited,67.01296884230614,ELEVATED,70.38359132365252,69.64674211694631,,70.72765554476635,Very High Agreement
SEM-0004,CG Power and Industrial Solutions Limited,45.15315566404277,MODERATE,67.31736482469255,66.37046969131724,,68.83452872785124,Very High Agreement
SEM-0005,Kaynes Technology India Limited,40.31842288483617,MODERATE,66.14762223917035,65.20072710579502,,67.66478614232902,Very High Agreement
SEM-0003,Tata Electronics Private Limited,30.05713019435408,MODERATE,60.80631527832369,59.859420144948366,,62.323479181482355,Very High Agreement
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,17.763110820652695,LOW,53.89970673350785,53.12076485926052,,55.129683127941874,Very High Agreement
SEM-0001,Micron Technology Inc.,16.311959160811913,LOW,56.50608359502496,52.1809345833792,,56.69388136615184,Very High Agreement
SEM-0008,SiCSem Private Limited,10.852115241143196,LOW,53.48647364182016,52.70753176757284,,54.71645003625421,Very High Agreement
SEM-0007,3D Glass Solutions Inc.,7.625738257482885,LOW,53.45283362825476,52.67389175400744,,54.6828100226888,Very High Agreement
SEM-0010,Advanced System in Package Technologies Private Limited,3.3693381673007576,LOW,52.641569669619216,51.862627795371885,,53.87154606405324,Very High Agreement
SEM-0009,Continental Device India Private Limited,0.0,LOW,52.5,51.72105812575268,,53.72997639443403,Very High Agreement
