credit_allocation_rank,project_id,company,state,investment_crore,robust_vulnerability_rank,severe_score,risk_adjusted_attractiveness,allocation_priority_score,optimized_credit_share,optimized_credit_allocation_crore,investment_proportional_credit_crore
1,SEM-0001,Micron Technology Inc.,Gujarat,22516,7,56.50608359502496,0.8939492896942581,0.8625352116557399,0.10732038011708465,1073.2038011708466,1370.4116225707694
2,SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,3706,7,53.89970673350785,0.9629463814752692,0.8294928814616218,0.10320910977302557,1032.0910977302556,225.56162165781097
3,SEM-0008,SiCSem Private Limited,Odisha,2066,9,53.48647364182016,0.9738856596645062,0.8108135605617025,0.10088494747539585,1008.8494747539585,125.74482200351794
4,SEM-0007,3D Glass Solutions Inc.,Odisha,1943,10,53.45283362825476,0.9747761920881771,0.808670779164512,0.10061833330017526,1006.1833330017527,118.25856202944595
5,SEM-0003,Tata Electronics Private Limited,Assam,27120,6,60.80631527832369,0.7801117689147538,0.7912369549387116,0.09844914111239696,984.4914111239696,1650.629028429529
6,SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,480,11,52.641569669619216,0.9962523088535866,0.7607330191191017,0.09465370882976187,946.5370882976188,29.214673069549182
7,SEM-0009,Continental Device India Private Limited,Punjab,117,12,52.5,1.0,0.7,0.0870970426097147,870.970426097147,7.121076560702613
8,SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,7584,4,67.31736482469255,0.6077485585998693,0.6131349044183462,0.0762889098508972,762.889098508972,461.591834498877
9,SEM-0005,Kaynes Technology India Limited,Gujarat,3307,5,66.14762223917035,0.6387144706001983,0.5973959991373663,0.07433060684534325,743.3060684534324,201.27692466874822
10,SEM-0011,Crystal Matrix Limited,Gujarat,3068,2,70.98528262319634,0.5106499138393181,0.504369595240753,0.0627558573253263,627.558573253263,186.73045203620185
11,SEM-0012,Suchi Semicon Private Limited,Gujarat,868,3,70.38359132365252,0.5265781360513184,0.45862936275226784,0.05706465878528653,570.6465878528653,52.829867134101434
12,SEM-0002,Tata Electronics Private Limited,Gujarat,91526,1,90.27516985483182,0.0,0.3,0.03732730397559201,373.2730397559201,5570.629515340747
