scenario_id,budget_crore,max_project_share_limit,max_state_share_limit,min_project_share_limit,weight_scenario,risk_weight,scale_weight,portfolio_stress_index,project_hhi,state_hhi,actual_max_project_share,actual_max_state_share,stress_reduction_vs_investment_benchmark,stress_reduction_pct,stress_quality,project_diversification_quality,state_diversification_quality,balanced_policy_score
1,5000,0.15,0.35,0.01,risk_heavy,0.8,0.2,58.68398049133178,0.09368292394028858,0.2179954538498514,0.11294042071895997,0.35,18.233195956278735,23.704973061118082,1.0,0.0,1.0,0.75
2,5000,0.15,0.35,0.01,balanced,0.7,0.3,58.99994554256706,0.09298860411263632,0.21819924656526296,0.11469398624501669,0.3500000000000001,17.917230905043454,23.29418698468106,0.8522050265506449,0.10358376783274881,0.9961132894722722,0.7010267776015777
3,5000,0.15,0.35,0.01,scale_heavy,0.55,0.45,59.47870714783995,0.0930516003379794,0.21914423321700968,0.12309631659344128,0.3499999999999999,17.438469299770567,22.67174915299729,0.6282607692245807,0.0941855249475608,0.9780906159901083,0.5821994198467076
4,5000,0.15,0.35,0.02,risk_heavy,0.8,0.2,58.68398049133178,0.09368292394028858,0.2179954538498514,0.11294042071895997,0.35,18.233195956278735,23.704973061118082,1.0,0.0,1.0,0.75
5,5000,0.15,0.35,0.02,balanced,0.7,0.3,58.99994554256706,0.09298860411263632,0.21819924656526296,0.11469398624501669,0.3500000000000001,17.917230905043454,23.29418698468106,0.8522050265506449,0.10358376783274881,0.9961132894722722,0.7010267776015777
6,5000,0.15,0.35,0.02,scale_heavy,0.55,0.45,59.47870714783995,0.0930516003379794,0.21914423321700968,0.12309631659344128,0.3499999999999999,17.438469299770567,22.67174915299729,0.6282607692245807,0.0941855249475608,0.9780906159901083,0.5821994198467076
7,5000,0.15,0.45,0.01,risk_heavy,0.8,0.2,59.23401031070256,0.09059511401485788,0.23872700182050086,0.10513112607126329,0.3949444183817415,17.683166136907957,22.989879443835587,0.7427195120712119,0.46066232547179914,0.6046103728934202,0.6376779306269108
8,5000,0.15,0.45,0.01,balanced,0.7,0.3,59.83640216841548,0.08864209617743041,0.2497909580366798,0.10732038011708465,0.4150877168995299,17.080774279195033,22.206709954868163,0.46094629611356064,0.7520279731004347,0.3935999105376044,0.51688011896629
9,5000,0.15,0.45,0.01,scale_heavy,0.55,0.45,60.821841095525826,0.08697994487147014,0.2704286654198179,0.1110927666769479,0.44803967371248665,16.09533535208469,20.925541076052724,0.0,1.0,0.0,0.25
10,5000,0.15,0.45,0.02,risk_heavy,0.8,0.2,59.23401031070256,0.09059511401485788,0.23872700182050086,0.10513112607126329,0.3949444183817415,17.683166136907957,22.989879443835587,0.7427195120712119,0.46066232547179914,0.6046103728934202,0.6376779306269108
11,5000,0.15,0.45,0.02,balanced,0.7,0.3,59.83640216841548,0.08864209617743041,0.2497909580366798,0.10732038011708465,0.4150877168995299,17.080774279195033,22.206709954868163,0.46094629611356064,0.7520279731004347,0.3935999105376044,0.51688011896629
12,5000,0.15,0.45,0.02,scale_heavy,0.55,0.45,60.821841095525826,0.08697994487147014,0.2704286654198179,0.1110927666769479,0.44803967371248665,16.09533535208469,20.925541076052724,0.0,1.0,0.0,0.25
13,5000,0.15,0.55,0.01,risk_heavy,0.8,0.2,59.23401031070256,0.09059511401485788,0.23872700182050086,0.10513112607126329,0.3949444183817415,17.683166136907957,22.989879443835587,0.7427195120712119,0.46066232547179914,0.6046103728934202,0.6376779306269108
14,5000,0.15,0.55,0.01,balanced,0.7,0.3,59.83640216841548,0.08864209617743041,0.2497909580366798,0.10732038011708465,0.4150877168995299,17.080774279195033,22.206709954868163,0.46094629611356064,0.7520279731004347,0.3935999105376044,0.51688011896629
15,5000,0.15,0.55,0.01,scale_heavy,0.55,0.45,60.821841095525826,0.08697994487147014,0.2704286654198179,0.1110927666769479,0.44803967371248665,16.09533535208469,20.925541076052724,0.0,1.0,0.0,0.25
16,5000,0.15,0.55,0.02,risk_heavy,0.8,0.2,59.23401031070256,0.09059511401485788,0.23872700182050086,0.10513112607126329,0.3949444183817415,17.683166136907957,22.989879443835587,0.7427195120712119,0.46066232547179914,0.6046103728934202,0.6376779306269108
17,5000,0.15,0.55,0.02,balanced,0.7,0.3,59.83640216841548,0.08864209617743041,0.2497909580366798,0.10732038011708465,0.4150877168995299,17.080774279195033,22.206709954868163,0.46094629611356064,0.7520279731004347,0.3935999105376044,0.51688011896629
18,5000,0.15,0.55,0.02,scale_heavy,0.55,0.45,60.821841095525826,0.08697994487147014,0.2704286654198179,0.1110927666769479,0.44803967371248665,16.09533535208469,20.925541076052724,0.0,1.0,0.0,0.25
19,5000,0.2,0.35,0.01,risk_heavy,0.8,0.2,58.68398049133178,0.09368292394028858,0.2179954538498514,0.11294042071895997,0.35,18.233195956278735,23.704973061118082,1.0,0.0,1.0,0.75
20,5000,0.2,0.35,0.01,balanced,0.7,0.3,58.99994554256706,0.09298860411263632,0.21819924656526296,0.11469398624501669,0.3500000000000001,17.917230905043454,23.29418698468106,0.8522050265506449,0.10358376783274881,0.9961132894722722,0.7010267776015777
21,5000,0.2,0.35,0.01,scale_heavy,0.55,0.45,59.47870714783995,0.0930516003379794,0.21914423321700968,0.12309631659344128,0.3499999999999999,17.438469299770567,22.67174915299729,0.6282607692245807,0.0941855249475608,0.9780906159901083,0.5821994198467076
22,5000,0.2,0.35,0.02,risk_heavy,0.8,0.2,58.68398049133178,0.09368292394028858,0.2179954538498514,0.11294042071895997,0.35,18.233195956278735,23.704973061118082,1.0,0.0,1.0,0.75
23,5000,0.2,0.35,0.02,balanced,0.7,0.3,58.99994554256706,0.09298860411263632,0.21819924656526296,0.11469398624501669,0.3500000000000001,17.917230905043454,23.29418698468106,0.8522050265506449,0.10358376783274881,0.9961132894722722,0.7010267776015777
24,5000,0.2,0.35,0.02,scale_heavy,0.55,0.45,59.47870714783995,0.0930516003379794,0.21914423321700968,0.12309631659344128,0.3499999999999999,17.438469299770567,22.67174915299729,0.6282607692245807,0.0941855249475608,0.9780906159901083,0.5821994198467076
25,5000,0.2,0.45,0.01,risk_heavy,0.8,0.2,59.23401031070256,0.09059511401485788,0.23872700182050086,0.10513112607126329,0.3949444183817415,17.683166136907957,22.989879443835587,0.7427195120712119,0.46066232547179914,0.6046103728934202,0.6376779306269108
26,5000,0.2,0.45,0.01,balanced,0.7,0.3,59.83640216841548,0.08864209617743041,0.2497909580366798,0.10732038011708465,0.4150877168995299,17.080774279195033,22.206709954868163,0.46094629611356064,0.7520279731004347,0.3935999105376044,0.51688011896629
27,5000,0.2,0.45,0.01,scale_heavy,0.55,0.45,60.821841095525826,0.08697994487147014,0.2704286654198179,0.1110927666769479,0.44803967371248665,16.09533535208469,20.925541076052724,0.0,1.0,0.0,0.25
28,5000,0.2,0.45,0.02,risk_heavy,0.8,0.2,59.23401031070256,0.09059511401485788,0.23872700182050086,0.10513112607126329,0.3949444183817415,17.683166136907957,22.989879443835587,0.7427195120712119,0.46066232547179914,0.6046103728934202,0.6376779306269108
29,5000,0.2,0.45,0.02,balanced,0.7,0.3,59.83640216841548,0.08864209617743041,0.2497909580366798,0.10732038011708465,0.4150877168995299,17.080774279195033,22.206709954868163,0.46094629611356064,0.7520279731004347,0.3935999105376044,0.51688011896629
30,5000,0.2,0.45,0.02,scale_heavy,0.55,0.45,60.821841095525826,0.08697994487147014,0.2704286654198179,0.1110927666769479,0.44803967371248665,16.09533535208469,20.925541076052724,0.0,1.0,0.0,0.25
31,5000,0.2,0.55,0.01,risk_heavy,0.8,0.2,59.23401031070256,0.09059511401485788,0.23872700182050086,0.10513112607126329,0.3949444183817415,17.683166136907957,22.989879443835587,0.7427195120712119,0.46066232547179914,0.6046103728934202,0.6376779306269108
32,5000,0.2,0.55,0.01,balanced,0.7,0.3,59.83640216841548,0.08864209617743041,0.2497909580366798,0.10732038011708465,0.4150877168995299,17.080774279195033,22.206709954868163,0.46094629611356064,0.7520279731004347,0.3935999105376044,0.51688011896629
33,5000,0.2,0.55,0.01,scale_heavy,0.55,0.45,60.821841095525826,0.08697994487147014,0.2704286654198179,0.1110927666769479,0.44803967371248665,16.09533535208469,20.925541076052724,0.0,1.0,0.0,0.25
34,5000,0.2,0.55,0.02,risk_heavy,0.8,0.2,59.23401031070256,0.09059511401485788,0.23872700182050086,0.10513112607126329,0.3949444183817415,17.683166136907957,22.989879443835587,0.7427195120712119,0.46066232547179914,0.6046103728934202,0.6376779306269108
35,5000,0.2,0.55,0.02,balanced,0.7,0.3,59.83640216841548,0.08864209617743041,0.2497909580366798,0.10732038011708465,0.4150877168995299,17.080774279195033,22.206709954868163,0.46094629611356064,0.7520279731004347,0.3935999105376044,0.51688011896629
