project_id,company,state,mean_allocation_share,median_allocation_share,min_allocation_share,max_allocation_share,allocation_share_std,mean_allocation_rank,median_allocation_rank,best_allocation_rank,worst_allocation_rank,rank_range,allocation_stability,robust_allocation_rank
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,Uttar Pradesh,0.10692036459298615,0.10513112607126329,0.10006492770188169,0.11783854728055748,0.006199965212512728,1.7777777777777777,2.0,1,3,2,Highly Stable,1
SEM-0008,SiCSem Private Limited,Odisha,0.1042039266310482,0.1040717937569612,0.09567165924720727,0.11266494265802002,0.006339898827868307,3.0,3.0,2,4,2,Highly Stable,2
SEM-0001,Micron Technology Inc.,Gujarat,0.10191048281191774,0.10501434685080108,0.08678353864234616,0.1110927666769479,0.008744190930220701,3.111111111111111,2.0,1,7,6,Policy Sensitive,3
SEM-0007,3D Glass Solutions Inc.,Odisha,0.10389576062486341,0.10393566385494167,0.09519158886313926,0.11209960175436662,0.00637274961971556,4.0,4.0,3,5,2,Highly Stable,4
SEM-0003,Tata Electronics Private Limited,Assam,0.10329906572544649,0.10176900310613907,0.09473215902322359,0.12309631659344128,0.008381897104321613,4.333333333333333,5.0,1,7,6,Policy Sensitive,5
SEM-0010,Advanced System in Package Technologies Private Limited,Andhra Pradesh,0.09698685062067162,0.09933195148217892,0.0843496866936599,0.10845138383153062,0.00795417866421074,5.333333333333333,5.0,4,6,2,Highly Stable,6
SEM-0009,Continental Device India Private Limited,Punjab,0.08845585202859352,0.0870970426097147,0.0721527975174608,0.1033806348896516,0.010363061380305993,6.888888888888889,7.0,5,9,4,Moderately Stable,7
SEM-0004,CG Power and Industrial Solutions Limited,Gujarat,0.07264868732405409,0.07353829374109068,0.0631104886123599,0.08078857921633527,0.006490279257790833,7.777777777777778,8.0,7,8,1,Highly Stable,8
SEM-0005,Kaynes Technology India Limited,Gujarat,0.07043871838288514,0.07351776823956943,0.0591043836409863,0.07566031074710042,0.005985808625165571,8.777777777777779,9.0,8,9,1,Highly Stable,9
SEM-0011,Crystal Matrix Limited,Gujarat,0.059682000214928824,0.06092266263217906,0.05136634033712128,0.0657547381841382,0.005213023045918671,10.0,10.0,10,10,0,Highly Stable,10
SEM-0012,Suchi Semicon Private Limited,Gujarat,0.05380831202086029,0.055709171828224255,0.04351893656719061,0.057893258390707775,0.0048030306262757125,11.333333333333334,11.0,11,12,1,Highly Stable,11
SEM-0002,Tata Electronics Private Limited,Gujarat,0.0377499790217446,0.03732730397559201,0.02132029367344766,0.059034107059740645,0.013625756579163009,11.666666666666666,12.0,11,12,1,Highly Stable,12
