robust_allocation_rank,company,mean_allocation_share,mean_allocation_rank,best_allocation_rank,worst_allocation_rank,rank_range,allocation_stability
1,Vama Sundari Investments (Delhi) Private Limited / Foxconn,0.1069203645929861,1.7777777777777777,1,3,2,Highly Stable
2,SiCSem Private Limited,0.1042039266310482,3.0,2,4,2,Highly Stable
3,Micron Technology Inc.,0.1019104828119177,3.111111111111111,1,7,6,Policy Sensitive
4,3D Glass Solutions Inc.,0.1038957606248634,4.0,3,5,2,Highly Stable
5,Tata Electronics Private Limited,0.1032990657254464,4.333333333333333,1,7,6,Policy Sensitive
6,Advanced System in Package Technologies Private Limited,0.0969868506206716,5.333333333333333,4,6,2,Highly Stable
7,Continental Device India Private Limited,0.0884558520285935,6.888888888888889,5,9,4,Moderately Stable
8,CG Power and Industrial Solutions Limited,0.072648687324054,7.777777777777778,7,8,1,Highly Stable
9,Kaynes Technology India Limited,0.0704387183828851,8.777777777777779,8,9,1,Highly Stable
10,Crystal Matrix Limited,0.0596820002149288,10.0,10,10,0,Highly Stable
11,Suchi Semicon Private Limited,0.0538083120208602,11.333333333333334,11,12,1,Highly Stable
12,Tata Electronics Private Limited,0.0377499790217446,11.666666666666666,11,12,1,Highly Stable
