project_id,company,project_type,project_type_standardized,state,approval_year,investment_crore,ecosystem_id,validated_cluster,PC1,PC2,enhanced_vulnerability_rank,robust_vulnerability_rank,tail_risk_rank,mc_mean_rank_order,severe_score,p95_score,probability_top_3,cross_method_agreement,borrower_fundamental_risk_rank,borrower_fundamental_risk_score,macro_fundamental_interpretation,external_credit_evidence_available,ratings,outlooks,external_validation_interpretation,robust_allocation_rank,mean_allocation_share,mean_allocation_rank,best_allocation_rank,worst_allocation_rank,rank_range,allocation_stability,has_structural_cluster,has_cross_method_validation,has_borrower_fundamentals,has_external_credit_evidence,has_allocation_validation,evidence_layers_available,evidence_confidence_tier,macro_vulnerability_class,final_evidence_interpretation
SEM-0002,Tata Electronics Private Limited,Semiconductor Fab,FAB,Gujarat,2024,91526,MFG-0002,3,4.049989499997996,2.10236389062338,1,1,1,1,90.27516985483182,90.1538475648191,1.0,Very High Agreement,,,NO_COMPARABLE_FUNDAMENTAL_SCORE,NO,,,NO_EXTERNAL_EVIDENCE,12,0.0377499790217446,11.666666666666666,11,12,1,Highly Stable,YES,YES,NO,NO,YES,3,MODERATE_EVIDENCE_COVERAGE,HIGHER_RELATIVE_MACRO_VULNERABILITY,HIGHER_RELATIVE_MACRO_VULNERABILITY
SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,FAB,Gujarat,2026,3068,MFG-0011,3,1.915632469030788,-0.1161826416361866,2,2,2,2,70.98528262319634,70.61129335209091,0.9997,Very High Agreement,,,NO_COMPARABLE_FUNDAMENTAL_SCORE,NO,,,NO_EXTERNAL_EVIDENCE,10,0.0596820002149288,10.0,10,10,0,Highly Stable,YES,YES,NO,NO,YES,3,MODERATE_EVIDENCE_COVERAGE,HIGHER_RELATIVE_MACRO_VULNERABILITY,HIGHER_RELATIVE_MACRO_VULNERABILITY
SEM-0012,Suchi Semicon Private Limited,OSAT,OSAT,Gujarat,2026,868,MFG-0012,1,1.7900418575633472,-1.3163996798256834,3,3,3,3,70.38359132365252,70.0096020525471,0.9928,Very High Agreement,,,NO_COMPARABLE_FUNDAMENTAL_SCORE,NO,,,NO_EXTERNAL_EVIDENCE,11,0.0538083120208602,11.333333333333334,11,12,1,Highly Stable,YES,YES,NO,NO,YES,3,MODERATE_EVIDENCE_COVERAGE,HIGHER_RELATIVE_MACRO_VULNERABILITY,HIGHER_RELATIVE_MACRO_VULNERABILITY
SEM-0004,CG Power and Industrial Solutions Limited,OSAT,OSAT,Gujarat,2024,7584,MFG-0004,1,3.364774228462403,-0.9073901445804072,4,4,4,4,67.31736482469255,67.19604253467983,0.0072,Very High Agreement,2.0,1.6629613060733628,HIGH_MACRO_AND_HIGHER_BORROWER_FUNDAMENTAL_RISK,YES,IND AA+,Stable,HIGH_MACRO_VULNERABILITY_BUT_COMPANY_CREDIT_REMAINS_SOUND,8,0.072648687324054,7.777777777777778,7,8,1,Highly Stable,YES,YES,YES,YES,YES,5,VERY_HIGH_EVIDENCE_COVERAGE,HIGHER_RELATIVE_MACRO_VULNERABILITY,HIGHER_RELATIVE_MACRO_VULNERABILITY | HIGH_MACRO_AND_HIGHER_BORROWER_FUNDAMENTAL_RISK | HIGH_MACRO_VULNERABILITY_BUT_COMPANY_CREDIT_REMAINS_SOUND
SEM-0005,Kaynes Technology India Limited,OSAT,OSAT,Gujarat,2024,3307,MFG-0005,1,3.267577006216881,-1.1752987979692802,5,5,5,5,66.14762223917035,66.02629994915762,0.0003,Very High Agreement,3.0,1.2346702567915924,LOWER_MACRO_AND_LOWER_BORROWER_FUNDAMENTAL_RISK,YES,[ICRA]A- | Crisil A,Positive | Stable,LOWER_MACRO_VULNERABILITY_AND_SOUND_EXTERNAL_CREDIT,9,0.0704387183828851,8.777777777777779,8,9,1,Highly Stable,YES,YES,YES,YES,YES,5,VERY_HIGH_EVIDENCE_COVERAGE,MODERATE_RELATIVE_MACRO_VULNERABILITY,MODERATE_RELATIVE_MACRO_VULNERABILITY | LOWER_MACRO_AND_LOWER_BORROWER_FUNDAMENTAL_RISK | LOWER_MACRO_VULNERABILITY_AND_SOUND_EXTERNAL_CREDIT
SEM-0003,Tata Electronics Private Limited,OSAT,OSAT,Assam,2024,27120,MFG-0003,1,2.231249401497603,1.5556757098155285,6,6,6,6,60.80631527832369,60.68499298831098,0.0,Very High Agreement,,,NO_COMPARABLE_FUNDAMENTAL_SCORE,NO,,,NO_EXTERNAL_EVIDENCE,5,0.1032990657254464,4.333333333333333,1,7,6,Policy Sensitive,YES,YES,NO,NO,YES,3,MODERATE_EVIDENCE_COVERAGE,MODERATE_RELATIVE_MACRO_VULNERABILITY,MODERATE_RELATIVE_MACRO_VULNERABILITY
SEM-0006,Vama Sundari Investments (Delhi) Private Limited / Foxconn,OSAT,OSAT,Uttar Pradesh,2025,3706,MFG-0006,1,2.6922537584679858,-1.052533871662879,7,7,8,7,53.89970673350785,53.832908016458845,0.0,Very High Agreement,,,NO_COMPARABLE_FUNDAMENTAL_SCORE,NO,,,NO_EXTERNAL_EVIDENCE,1,0.1069203645929861,1.7777777777777777,1,3,2,Highly Stable,YES,YES,NO,NO,YES,3,MODERATE_EVIDENCE_COVERAGE,MODERATE_RELATIVE_MACRO_VULNERABILITY,MODERATE_RELATIVE_MACRO_VULNERABILITY
SEM-0001,Micron Technology Inc.,ATMP,ATMP,Gujarat,2023,22516,MFG-0001,4,1.0264708080301217,0.1503819062586876,8,7,7,11,56.50608359502496,53.84156751120496,0.0,Very High Agreement,,,NO_COMPARABLE_FUNDAMENTAL_SCORE,NO,,,NO_EXTERNAL_EVIDENCE,3,0.1019104828119177,3.111111111111111,1,7,6,Policy Sensitive,YES,YES,NO,NO,YES,3,MODERATE_EVIDENCE_COVERAGE,MODERATE_RELATIVE_MACRO_VULNERABILITY,MODERATE_RELATIVE_MACRO_VULNERABILITY
SEM-0008,SiCSem Private Limited,Compound Semiconductor Fab + ATMP,FAB,Odisha,2025,2066,MFG-0008,3,2.527763120200996,-0.6560157058559306,9,9,9,8,53.48647364182016,53.419674924771165,0.0,Very High Agreement,,,NO_COMPARABLE_FUNDAMENTAL_SCORE,NO,,,NO_EXTERNAL_EVIDENCE,2,0.1042039266310482,3.0,2,4,2,Highly Stable,YES,YES,NO,NO,YES,3,MODERATE_EVIDENCE_COVERAGE,LOWER_RELATIVE_MACRO_VULNERABILITY,LOWER_RELATIVE_MACRO_VULNERABILITY
SEM-0007,3D Glass Solutions Inc.,Advanced Packaging,Advanced Packaging,Odisha,2025,1943,MFG-0007,4,0.1124676994240353,-0.6645063665118969,10,10,10,9,53.45283362825476,53.386034911205755,0.0,Very High Agreement,,,NO_COMPARABLE_FUNDAMENTAL_SCORE,NO,,,NO_EXTERNAL_EVIDENCE,4,0.1038957606248634,4.0,3,5,2,Highly Stable,YES,YES,NO,NO,YES,3,MODERATE_EVIDENCE_COVERAGE,LOWER_RELATIVE_MACRO_VULNERABILITY,LOWER_RELATIVE_MACRO_VULNERABILITY
