relative_path,filename,extension,size_mb,modified_time,sha256,file_role,tabular
.DS_Store,.DS_Store,,0.0156,2026-08-23T11:52:18.356729,fac5cd951df8b72227d012c7aa7a93df308461ebefc49acb454f5e1ea3992727,OTHER,NO
Data_Dictionary.xlsx,Data_Dictionary.xlsx,.xlsx,0.0069,2026-08-22T14:16:09,45dd148742283851ec9081c8dd12688726329e8783b4b6ebff1d65718052747f,OTHER,YES
03_Notebooks/01_Data_Acquisition_and_Inspection.ipynb.ipynb,01_Data_Acquisition_and_Inspection.ipynb.ipynb,.ipynb,3.7458,2026-08-23T21:43:52.482966,354fc5b08e86b877a8eea36d93a5df946660aa8e27143edf6b403e7c2581fea5,OTHER,NO
03_Notebooks/01_RBI_Data_Collection.ipynb.ipynb,01_RBI_Data_Collection.ipynb.ipynb,.ipynb,0.6506,2026-08-23T15:59:32.250296,e35b0d42241aaf20fd8b367effde9bf8d11fb7810d33ef5d6801d9d7de14abbf,OTHER,NO
03_Notebooks/02_IIP_Data_Collection.ipynb,02_IIP_Data_Collection.ipynb,.ipynb,0.0859,2026-08-23T12:33:45.613174,d891c71b01ce6287ed332be17a5dcc3f8098cde9c213ac925957f0af4762caea,OTHER,NO
08_Code/feature_engineering.py,feature_engineering.py,.py,0.0107,2026-08-23T21:00:08.285171,1740fefa6e56a0742929f2f9f434a3379bd83d77d8d16c36362a37615f2b32b6,OTHER,NO
08_Code/config.py,config.py,.py,0.0014,2026-08-23T20:57:45.222457,6940872a9ffaaf558ade99ebfa352ef1b968c4570155d525c4fbf3e7d0bfde67,OTHER,NO
08_Code/requirements.txt,requirements.txt,.txt,0.0001,2026-08-23T21:00:09.144794,2f090b814bba8d423a1e5889c89bb2ef40a58e9f200f11e044fc3761534a2cb0,OTHER,NO
08_Code/run_until_master.py,run_until_master.py,.py,0.0011,2026-08-23T21:00:09.144784,68df50624d5e128a7f9e6da2ecb487c6db609ff7a9739f270da456e79b979aa6,OTHER,NO
08_Code/scrape_web_data.py,scrape_web_data.py,.py,0.0089,2026-08-23T20:58:19.811260,4e7195816b7c139d382740d5003954c87a14d8a0c5d9435a78413249aad72847,OTHER,NO
08_Code/__init__.py,__init__.py,.py,0.0,2026-08-23T20:58:19.811262,b5b791066ff6be078cda5f9145c5f349c60b676cd808759a3de680a17332770a,OTHER,NO
08_Code/clean_local_sources.py,clean_local_sources.py,.py,0.0149,2026-08-23T20:59:20.939269,01b616d05b1675932f7b214b68e283bbac13591dcced5e855db9db31a2eba925,OTHER,NO
01_Raw_Data/.DS_Store,.DS_Store,,0.0195,2026-08-23T15:42:33.784613,fba0860cd2c8067156d6998e1e9b954b386a1960297ac6bafb8ed2c57d893a3a,RAW_OR_SOURCE,NO
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,RBI_Sectoral_Credit_Wide_2019_2026.csv,.csv,0.0052,2026-08-23T10:10:02.740970,a1825076f942524d1943b885506692213677af01bd0d53a464e87569eb8c5e6c,OTHER,YES
02_Clean_Data/.DS_Store,.DS_Store,,0.0098,2026-08-23T12:25:19.077397,df6c611a84303f7632e0e32a78841094743b4a6b23e6ca2eb97d9b9cdfccdca9,OTHER,NO
02_Clean_Data/RBI_Sectoral_Credit_Long_2019_2026.csv,RBI_Sectoral_Credit_Long_2019_2026.csv,.csv,0.0167,2026-08-23T10:11:16.302269,d93a4f04b70a0bc7e23fe64d6abf314fae3cd3b0d3a12b5f96a818b75dfda6d2,OTHER,YES
02_Clean_Data/IIP/.DS_Store,.DS_Store,,0.0078,2026-08-23T12:25:14.062802,f1e502292473c7d1049690f3e50d96cab235fd14a8b1e6e0adaca4397ac0955d,OTHER,NO
01_Raw_Data/Electronics/.DS_Store,.DS_Store,,0.0098,2026-08-23T11:52:18.357726,66d345ffbff77217b272012826c8c48f534c6ab825a299d44691767532683fdb,RAW_OR_SOURCE,NO
01_Raw_Data/RBI/.DS_Store,.DS_Store,,0.0176,2026-08-23T20:31:04.937996,3c3e934a1b815ba50053f388a6a3809f45c578a54c263fbbf7f1dbf36edb5f30,RBI_SOURCE_OR_DERIVED,NO
01_Raw_Data/Semiconductor/.DS_Store,.DS_Store,,0.0176,2026-08-23T20:31:44.368692,e0b6ab082469e1c26fa4c4188780f26d86c9a2c447ae6d586719e9ba52009fba,RAW_OR_SOURCE,NO
01_Raw_Data/Industrial_Production/.DS_Store,.DS_Store,,0.0059,2026-08-23T12:17:14.777644,9a8ea407da5a1a9ffa13f61223db727865988f6859f370df77bee52f4a798f47,RAW_OR_SOURCE,NO
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx,IIP_Dashboard Data_Jun2026-28.07.2026.xlsx,.xlsx,0.0179,2026-08-23T12:15:58.139138,75e93e9545027ee00cc23b06e5711ed4b3f80004421f845408501199b83412c2,RAW_OR_SOURCE,YES
01_Raw_Data/Interest_Rates/Weighted Average Lending Rate.xlsx,Weighted Average Lending Rate.xlsx,.xlsx,0.0135,2026-08-23T12:32:56.494832,9bbb6b8e69eb1e7283cb8248a18d59d362cd41797340d1485acd257b75fde9d6,RAW_OR_SOURCE,YES
"01_Raw_Data/Interest_Rates/Major Monetary Policy Rates and Reserve Requirements - Bank Rate, LAF (Repo, Reverse Repo, SDF and MSF) Rates, CRR & SLR.xlsx","Major Monetary Policy Rates and Reserve Requirements - Bank Rate, LAF (Repo, Reverse Repo, SDF and MSF) Rates, CRR & SLR.xlsx",.xlsx,0.0153,2026-08-23T12:32:33.204227,3aa854f8f0bc06966dba47dda948f0899fa1a66077512771e5072404de4383ce,RAW_OR_SOURCE,YES
01_Raw_Data/Interest_Rates/Other STRBI Table No 18. Bank Group-Wise and Occupation-Wise Weighted Average Lending Rate and Deposit Rate.xlsx,Other STRBI Table No 18. Bank Group-Wise and Occupation-Wise Weighted Average Lending Rate and Deposit Rate.xlsx,.xlsx,0.018,2026-08-23T12:33:08.072063,57f9b7214de5f9bbb1b5395e40eb4be7aaf7f3c066b01da65f54105234f13d4e,RAW_OR_SOURCE,YES
01_Raw_Data/Semiconductor/Semiconductor_Investment/MeitY_Annual_Report_2025_26.pdf,MeitY_Annual_Report_2025_26.pdf,.pdf,44.5319,2026-08-23T15:47:20.160422,a25202cdd026feec8b39496e5c09edfeba9c314708dbcd5f907dec9d8d0476ad,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Investment/Semiconductor_Investment_Relevant_Pages.txt,Semiconductor_Investment_Relevant_Pages.txt,.txt,0.2731,2026-08-23T15:50:48.261091,343a2577121517a1d7dab7372b5c9598723a921b78f781a047f1fed75cdca4c4,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Investment/MeitY_Annual_Report_2024_25.pdf,MeitY_Annual_Report_2024_25.pdf,.pdf,16.5959,2026-08-23T15:47:22.550169,0ebaea29e369f35c8c2a4822b91f5a7686e14e27c9c8f041966ca89d9583e0fd,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/ISM_Projects/ISM_Approved_Projects_Page3_Raw.txt,ISM_Approved_Projects_Page3_Raw.txt,.txt,0.0028,2026-08-22T22:23:48.670609,992d5ef68d2006f86d5c007c73ca09e17f22f79c1f10b98eb8d2b6eadfe84bc8,RAW_OR_SOURCE,NO
