relative_path,filename,extension,size_mb,modified_time,sha256,file_role,tabular
.DS_Store,.DS_Store,,0.0156,2026-08-23T11:52:18.356729,fac5cd951df8b72227d012c7aa7a93df308461ebefc49acb454f5e1ea3992727,OTHER,NO
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/.DS_Store,.DS_Store,,0.0078,2026-08-23T17:21:28.525088,318c1ebabdd143be209e2f6fc4eab3c40f23eed78989b4c19efe209588959274,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Capacity/.DS_Store,.DS_Store,,0.0117,2026-08-23T17:21:28.526024,994ec6571879096cfc9a9cd5949e0bcd3db45f8218fbcc06f8d35c62ba3b1e19,RAW_OR_SOURCE,NO
01_Raw_Data/RBI/Banking_Stress/.DS_Store,.DS_Store,,0.0059,2026-08-23T12:08:13.352005,bfd47cd716696730683c0ab23f24ce85ace329f31a6bbdfcb17711803c784a84,RBI_SOURCE_OR_DERIVED,NO
01_Raw_Data/Industrial_Production/.DS_Store,.DS_Store,,0.0059,2026-08-23T12:17:14.777644,9a8ea407da5a1a9ffa13f61223db727865988f6859f370df77bee52f4a798f47,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/.DS_Store,.DS_Store,,0.0176,2026-08-23T20:31:44.368692,e0b6ab082469e1c26fa4c4188780f26d86c9a2c447ae6d586719e9ba52009fba,RAW_OR_SOURCE,NO
01_Raw_Data/RBI/Sectoral_Credit/.DS_Store,.DS_Store,,0.0156,2026-08-23T08:57:42.104760,1753a0dfbf640cdf787c8ed24d6405a215b80be7c91adf65e1a45982b1f6ea20,RBI_SOURCE_OR_DERIVED,NO
01_Raw_Data/Electronics/.DS_Store,.DS_Store,,0.0098,2026-08-23T11:52:18.357726,66d345ffbff77217b272012826c8c48f534c6ab825a299d44691767532683fdb,RAW_OR_SOURCE,NO
02_Clean_Data/IIP/.DS_Store,.DS_Store,,0.0078,2026-08-23T12:25:14.062802,f1e502292473c7d1049690f3e50d96cab235fd14a8b1e6e0adaca4397ac0955d,OTHER,NO
02_Clean_Data/.DS_Store,.DS_Store,,0.0098,2026-08-23T12:25:19.077397,df6c611a84303f7632e0e32a78841094743b4a6b23e6ca2eb97d9b9cdfccdca9,OTHER,NO
01_Raw_Data/.DS_Store,.DS_Store,,0.0195,2026-08-23T15:42:33.784613,fba0860cd2c8067156d6998e1e9b954b386a1960297ac6bafb8ed2c57d893a3a,RAW_OR_SOURCE,NO
01_Raw_Data/RBI/.DS_Store,.DS_Store,,0.0176,2026-08-23T20:31:04.937996,3c3e934a1b815ba50053f388a6a3809f45c578a54c263fbbf7f1dbf36edb5f30,RBI_SOURCE_OR_DERIVED,NO
01_Raw_Data/Semiconductor/ISM_Projects/ISM_Approved_Projects_Feb2026.pdf,ISM_Approved_Projects_Feb2026.pdf,.pdf,0.4938,2026-08-22T22:15:52.753125,9bc5fa187999ae29a31b89181ff088fd88b0be41faff5e6b5c1c2979c657cad7,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Investment/Official_PDFs/ISM_Approved_Projects_Feb2026.pdf,ISM_Approved_Projects_Feb2026.pdf,.pdf,0.4938,2026-08-22T22:15:52.753125,9bc5fa187999ae29a31b89181ff088fd88b0be41faff5e6b5c1c2979c657cad7,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Investment/Official_PDFs/MeitY_Annual_Report_2024_25.pdf,MeitY_Annual_Report_2024_25.pdf,.pdf,16.5959,2026-08-23T15:47:22.550169,0ebaea29e369f35c8c2a4822b91f5a7686e14e27c9c8f041966ca89d9583e0fd,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Investment/MeitY_Annual_Report_2024_25.pdf,MeitY_Annual_Report_2024_25.pdf,.pdf,16.5959,2026-08-23T15:47:22.550169,0ebaea29e369f35c8c2a4822b91f5a7686e14e27c9c8f041966ca89d9583e0fd,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Investment/MeitY_Annual_Report_2025_26.pdf,MeitY_Annual_Report_2025_26.pdf,.pdf,44.5319,2026-08-23T15:47:20.160422,a25202cdd026feec8b39496e5c09edfeba9c314708dbcd5f907dec9d8d0476ad,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Investment/Official_PDFs/MeitY_Annual_Report_2025_26.pdf,MeitY_Annual_Report_2025_26.pdf,.pdf,44.5319,2026-08-23T15:47:20.160422,a25202cdd026feec8b39496e5c09edfeba9c314708dbcd5f907dec9d8d0476ad,RAW_OR_SOURCE,NO
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Semiconductor_Capacity_Master.csv,Semiconductor_Capacity_Master.csv,.csv,0.0002,2026-08-23T15:55:39.437338,ccc2e80fea60183072ef0da0054e6c2c0b77eb472fe4a1aeecaf94cf3e028e75,RAW_OR_SOURCE,YES
01_Raw_Data/Semiconductor/Semiconductor_Capacity/Extracted_Capacity_Data/Semiconductor_Capacity_Master.csv,Semiconductor_Capacity_Master.csv,.csv,0.0026,2026-08-23T16:06:38.341854,4896ff4b219d321cae96843c877ea4073152f9d8c51e24b289f01e9c3eede028,RAW_OR_SOURCE,YES
