dataset,file_role,read_status,rows,columns,duplicate_rows,empty_rows,missing_cells_pct,infinite_values,duplicate_columns,content_hash
Data_Dictionary.xlsx :: SHEET=Sheet1,OTHER,READ_OK,20,7,0,0,85.7143,0,0,31d5f1f7856cf3f9421823447da06301d8aab9153cab379e8652d33cb99d3d83
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,OTHER,READ_OK_utf-8-sig,43,11,0,0,0.4228,0,0,8ae4f2c56e429c79218fa53add3d32f109b48759c057c3a8ef08326c43a64207
02_Clean_Data/RBI_Sectoral_Credit_Long_2019_2026.csv,OTHER,READ_OK_utf-8-sig,344,5,0,0,0.9302,0,0,ec440269a1f8e333c8a89b2a1741ac8144172eb11a4253bff47683445e166856
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,RAW_OR_SOURCE,READ_OK,6,41,0,0,0.0,0,0,182c8ca3465995e9b5117359f73b4ea5e9d223b81628bfd2aa919b340092ffca
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=Sectoral-Monthly,RAW_OR_SOURCE,READ_OK,5,41,0,0,0.0,0,0,bab9a4e76f580a15ae57173926ce1007e1d18a891df8063aaadb50793f4dfe94
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Annual,RAW_OR_SOURCE,READ_OK,6,5,0,0,0.0,0,0,9cdf09c4e406ac2b627db0f937f3e622fde7e11042e64f97eea2c2319665a288
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=Sectoral-Annual,RAW_OR_SOURCE,READ_OK,5,5,0,0,0.0,0,0,2a72892797127e27e8aa47cf06692b2ffe4f9594e7c6659d980a2ce4985f03b8
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=Sectoral Weights,RAW_OR_SOURCE,READ_OK,37,3,0,0,4.5045,0,0,a9276960919ca972238c442a1f2e51f24d03a143439a3a55b20ce3c6ca151a3c
01_Raw_Data/Interest_Rates/Weighted Average Lending Rate.xlsx :: SHEET=Sector Wise,RAW_OR_SOURCE,READ_OK,31,16,2,3,25.4032,0,0,a255e4e687c1a2781b22be4a732b1505a181631c7d6e29ee313b32d2b7037a2e
01_Raw_Data/Interest_Rates/Weighted Average Lending Rate.xlsx :: SHEET=Credit Range Wise,RAW_OR_SOURCE,READ_OK,31,16,2,3,39.5161,0,0,7abc2a56729ddcc478f2257e22956e8119ba980475658f7a90c63bd708839b15
