dataset,column,dtype,non_null,missing,missing_pct,unique_values,zero_variance,near_constant,largest_value_share,infinite_count
Data_Dictionary.xlsx :: SHEET=Sheet1,Variable Name,object,20,0,0.0,20,NO,NO,0.05,0
Data_Dictionary.xlsx :: SHEET=Sheet1,Description,float64,0,20,100.0,0,YES,NO,,0
Data_Dictionary.xlsx :: SHEET=Sheet1,Category,float64,0,20,100.0,0,YES,NO,,0
Data_Dictionary.xlsx :: SHEET=Sheet1,Source,float64,0,20,100.0,0,YES,NO,,0
Data_Dictionary.xlsx :: SHEET=Sheet1,Frequency,float64,0,20,100.0,0,YES,NO,,0
Data_Dictionary.xlsx :: SHEET=Sheet1,Unit,float64,0,20,100.0,0,YES,NO,,0
Data_Dictionary.xlsx :: SHEET=Sheet1,ML Role,float64,0,20,100.0,0,YES,NO,,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,sector_id,object,42,1,2.3256,42,NO,NO,0.02381,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,sr_no,object,42,1,2.3256,42,NO,NO,0.02381,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,sector,object,43,0,0.0,41,NO,NO,0.069767,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,2019,float64,43,0,0.0,43,NO,NO,0.023256,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,2020,float64,43,0,0.0,43,NO,NO,0.023256,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,2021,float64,43,0,0.0,43,NO,NO,0.023256,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,2022,float64,43,0,0.0,43,NO,NO,0.023256,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,2023,float64,43,0,0.0,43,NO,NO,0.023256,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,2024,float64,43,0,0.0,43,NO,NO,0.023256,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,2025,float64,43,0,0.0,43,NO,NO,0.023256,0
02_Clean_Data/RBI_Sectoral_Credit_Wide_2019_2026.csv,2026,float64,43,0,0.0,43,NO,NO,0.023256,0
02_Clean_Data/RBI_Sectoral_Credit_Long_2019_2026.csv,sector_id,object,336,8,2.3256,42,NO,NO,0.02381,0
02_Clean_Data/RBI_Sectoral_Credit_Long_2019_2026.csv,sr_no,object,336,8,2.3256,42,NO,NO,0.02381,0
02_Clean_Data/RBI_Sectoral_Credit_Long_2019_2026.csv,sector,object,344,0,0.0,41,NO,NO,0.069767,0
02_Clean_Data/RBI_Sectoral_Credit_Long_2019_2026.csv,year,int64,344,0,0.0,8,NO,NO,0.125,0
02_Clean_Data/RBI_Sectoral_Credit_Long_2019_2026.csv,credit_crore,float64,344,0,0.0,344,NO,NO,0.002907,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,Use-based category,object,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,Weight,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-04-01 00:00:00,float64,6,0,0.0,5,NO,NO,0.333333,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-05-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-06-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-07-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-08-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-09-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-10-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-11-01 00:00:00,float64,6,0,0.0,5,NO,NO,0.333333,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2023-12-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2024-01-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2024-02-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2024-03-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
01_Raw_Data/Industrial_Production/IIP_Dashboard Data_Jun2026-28.07.2026.xlsx :: SHEET=UBC-Monthly,2024-04-01 00:00:00,float64,6,0,0.0,6,NO,NO,0.166667,0
