resource,error
01_Raw_Data/RBI/Audit/RBI_Time_Variables.csv,READ_ERROR: No columns to parse from file
01_Raw_Data/RBI/Sectoral_Credit/PR45830062021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR3142SD310518.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDBC28022022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR3543EN300617R.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR519SD31082018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PRSD28022023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SE27112020_SA1.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR101529012021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR826ST30092019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR784SDBC31082021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/1371PR30112023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR242429052020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR615SD30072021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR3420SD290618.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR791SD30082022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBC1968PR29022024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1080SD01112016_A.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2316AN310316_I.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1260ST30112018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2827SD31052019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR621SD29072022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/IEPR26829072016.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2586SD28032018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR133SDBC29042022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2063SD08032019_ST.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR842SD31082023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR82530092016.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1016ST31102018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR299SD31072019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1013SD28092023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR3287SD05062017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2541280416_AN.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBC28032024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PRSD31032023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/STATE290515.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/IEPR305730062016.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDBC30082020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDBC30092020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBCPR1773310124.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR142SDC30042021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2159SDB31032020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PRSD30112022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR208131012018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
